time,RF_GRF_x,RF_GRF_y,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel
0.0,0.0,0.0,0.0,-0.41499199187087044,0.0,0.6241980561736404,0.0,0.3163939442050667,0.0,0.38442026118860967,0.0,0.6864419350418887,0.0
0.002,0.0,0.0,0.0,-0.41394277020392634,0.5246108334720501,0.6267282220261883,1.2650829262739194,0.3608687787869996,22.237417290966427,0.35819948064519064,-13.110390271709516,0.6401255785624729,-23.158178239707894
0.004,0.0,0.0,0.0,-0.4098630833962525,2.0398434038369215,0.6276284925168218,0.45013524531678506,0.41209168033222743,25.611450772613924,0.33170253810586803,-13.248471269661305,0.5856471535997408,-27.239212481366014
0.006,0.0,0.0,0.0,-0.4034873798675214,3.1878517643655346,0.6272080765177943,-0.21020799951376734,0.46797743341412645,27.942876540949513,0.30595760251536314,-12.872467795252446,0.5242859908553754,-30.68058137218271
0.008,0.0,0.0,0.0,-0.3955304467252632,3.9784665711291023,0.6257272966162837,-0.7403899507553158,0.5267402467852604,29.38140668556699,0.28175617625235777,-12.100713131502683,0.45743101486112187,-33.427487997126775
0.01,0.0,0.0,0.0,-0.38665086510361507,4.439790810824073,0.6233926784564364,-1.1673090799236285,0.5868345366782519,30.04714494649574,0.25967567032857447,-11.04025296189165,0.3866129982235378,-35.40900831879204
0.012,0.0,0.0,0.0,-0.37742185510889575,4.614504997359658,0.6203593840308513,-1.5166472127925434,0.6468774260484754,30.021444685111753,0.24010764057337955,-9.78401487759746,0.31352022413467173,-36.546387044433025
0.014,0.0,0.0,0.0,-0.36830949570644944,4.556179701223156,0.616741436882191,-1.808973574330186,0.7055701037279729,29.346338839748743,0.2232861673849316,-8.410736594223977,0.24000507178017932,-36.7575761772462
0.016,0.0,0.0,0.0,-0.35965811305311807,4.325691326665687,0.6126301634040747,-2.05563673905812,0.761630766339834,28.03033130593052,0.20931218493915937,-6.98699122288611,0.1680827433831857,-35.9611641984968
0.018000000000000002,0.0,0.0,0.0,-0.35168322199596125,3.987445528578409,0.6081200347950888,-2.2550643044929597,0.8137503064274463,26.05977004380616,0.1981720346554605,-5.5700751418494425,0.09991543997964338,-34.08365170177117
