time,RH_GRF_x,RH_GRF_y,RH_GRF_z,RH_CTr_pos,RH_CTr_acc,RH_TrF_pos,RH_TrF_acc,RH_FTi_pos,RH_FTi_acc
0.0,0.0,0.0,0.0,-0.5217454404538557,-0.3876863620290125,0.15706776088406885,0.25384265344136264,0.46162972195568863,0.330529220379759
0.002,0.0,0.0,0.0,-0.5365487553436846,-0.34993838318091197,0.12433661893487977,0.2552432464783558,0.4753514456633572,0.2978457528268762
0.004,0.0,0.0,0.0,-0.5430118203001968,-0.30821063878731414,0.08956598870346255,0.2533521927925686,0.4819177800404529,0.26104815126154574
0.006,0.0,0.0,0.0,-0.5417223939726443,-0.26367149021105507,0.053768969957415515,0.24883602698679216,0.4817024915845769,0.2207334561648054
0.008,0.0,0.0,0.0,-0.533453097374125,-0.2174141599906142,0.01792530034034181,0.24231365086873655,0.4752191853432086,0.1775413567891278
0.01,0.0,0.0,0.0,-0.5191557644545476,-0.1704866208177227,-0.017051361990457925,0.23433878124990032,0.4631589672831655,0.13221252744066075
0.012,0.0,0.0,0.0,-0.49993511142146374,-0.12391416395669701,-0.050339052679901505,0.2253875136885577,0.4463935614152374,0.08562551485163328
0.014,0.0,0.0,0.0,-0.47700692790678745,-0.078714719528425,-0.08122201720890483,0.21585150945679982,0.42594993728670005,0.038814610042046
0.016,0.0,0.0,0.0,-0.45164548497914664,-0.03590409291493082,-0.10909376853768203,0.206037315377542,0.40296364111369964,-0.007035141341940339
0.018000000000000002,0.0,0.0,0.0,-0.4251240509658379,0.003506045824440515,-0.13345261046889353,0.1961703149841511,0.37861793045286823,-0.05060304967519729
0.02,0.0,0.0,0.0,-0.3986515220430608,0.03852716915925328,-0.15389653558785468,0.1864041978604505,0.3540747086478391,-0.09047634663430723
0.022,0.0,0.0,0.0,-0.37330764891652646,0.06823987651581509,-0.1701249060918956,0.1768373227353274,0.3304019517909321,-0.12523941552705492
0.024,0.0,0.0,0.0,-0.3499795942057721,0.09186836429355137,-0.18195215745965165,0.16753440651518836,0.3085016771376999,-0.15360504389373258
0.026000000000000002,0.0,0.0,0.0,-0.32930367279183653,0.1088828816241976,-0.1893345817800873,0.15854999022476668,0.2890429084601559,-0.1745852506282644
0.028,-19.55090982060943,9.436240954476547,28.98715077508598,-0.31161760612324085,0.11911828937037583,-0.1924063688002891,0.1499458304076099,0.27240519051139495,-0.18768161067626032
