time,RM_GRF_x,RM_GRF_y,RM_GRF_z,RM_CTr_pos,RM_CTr_acc,RM_TrF_pos,RM_TrF_acc,RM_FTi_pos,RM_FTi_acc
0.0,3.1933306894431994,-3.490771126046603,7.003714932878989,-0.033780466927741525,-0.06846006343394062,0.038030840236751726,0.019074060147021538,-0.03592250187133593,0.013657217945108779
0.002,3.991816362584511,-3.5692394893607577,7.561055851945269,-0.02894060181724956,-0.0698190579588228,0.04771658737683919,0.014788857328722016,-0.04337373933997421,0.014733647305764756
0.004,4.647068946194364,-3.580418019370697,8.22748696556506,-0.023940465790914293,-0.07132231857895915,0.05747912451593845,0.010469796164101998,-0.0509184328575761,0.016152455333333135
0.006,5.29660671566267,-3.588143812512282,8.884750528174951,-0.018781206416980247,-0.07305633591996885,0.06727794674759893,0.006106850452732293,-0.0584930409644069,0.01810174522655042
0.008,5.937227018814345,-3.589982555280563,9.527209574094908,-0.013463971263691938,-0.075107600607471,0.07707254916536999,0.0016899939941837443,-0.06603402220073191,0.02076962018415296
0.01,6.565856271199308,-3.583444408686338,10.149300679885645,-0.007989907899293889,-0.07756260326708476,0.08682242686280102,-0.0027907994119728205,-0.07347783510681642,0.024344183404877276
0.012,7.179573789111487,-3.5659798989252547,10.745553688036741,-0.0023601638920306227,-0.08050783452442928,0.09648707493344144,-0.0073455559661665835,-0.08076093822292574,0.02901353808745971
0.014,7.775643684497227,-3.534975553582408,11.310619238079635,0.0034241131898533465,-0.08402978500512367,0.10602598847084062,-0.011984301868826723,-0.08781979008932514,0.03496578743063673
0.016,8.351555988715594,-3.4877488126295786,11.839304801345172,0.009361775778113493,-0.0882149453347871,0.11539866256854794,-0.01671706332038241,-0.09459084924627997,0.04238903463314479
0.018000000000000002,7.814313558397577,-3.5428962241739375,11.357209782571514,0.003681912560452321,-0.08392188295335987,0.1066379460896355,-0.01219968043272551,-0.08835186594816202,0.034624334501304595
0.02,8.351555988715592,-3.487748812629578,11.83930480134517,0.009361775778113498,-0.0882149453347871,0.11539866256854794,-0.016717063320382402,-0.09459084924627996,0.042389034633144786
0.022,8.884364225980729,-3.436526230421362,12.320890456402092,0.015156833855318479,-0.09244988575657921,0.12423431776660541,-0.021196285991520295,-0.10097039070087532,0.05009187494430103
0.024,9.412292378499043,-3.389391966957612,12.801684345456655,0.021069010129169268,-0.09662754326439074,0.1331500189065174,-0.025638791902776153,-0.10749247629725987,0.05773400163724565
0.026000000000000002,9.934849953322622,-3.3465186712891284,13.281368624611751,0.02710035996914988,-0.1007486914925809,0.14215118192826567,-0.030045964994824294,-0.11415920679505219,0.0653164295222394
0.028,10.451497432716247,-3.3080884510636883,13.759585883779934,0.033253082091108374,-0.10481407059617313,0.15124356248705695,-0.034419128221877676,-0.12097280719945497,0.07284013177632638
0.03,10.961642664229284,-3.2742930413158167,14.235935705545101,0.03952953907837393,-0.10882458479958733,0.16043331128932234,-0.03875952429796598,-0.12793564391555018,0.08030660151190566
0.032,11.464633448813665,-3.2453343416958313,14.709967790509495,0.04593225874036444,-0.1127805641014497,0.16972698387383756,-0.043068398120952596,-0.1350502251795036,0.08771574685603027
0.034,11.959750618699745,-3.221424760166485,15.18117537886623,0.05246394476209659,-0.1166826171510709,0.17913157197805077,-0.047346913215663075,-0.14231920953293942,0.09506831362528724
0.036000000000000004,12.446202998975256,-3.2027872980200827,15.648990296995338,0.05912750541273143,-0.1205338188426018,0.1886545823344461,-0.05159593023037214,-0.14974542930975882,0.10237210504711927
0.038,12.923117796230056,-3.189655969534434,16.11277376576449,0.06592606065067337,-0.1243283690780638,0.19830406298026446,-0.05581715847688165,-0.15733189535343,0.10960973670172569
0.04,13.389530016730212,-3.1822760981469997,16.571806114877212,0.07286295201060046,-0.12806973058391596,0.20808863517761217,-0.0600113270307629,-0.1650818042249576,0.11679019537831456
0.042,13.844374546103571,-3.1809042621948835,17.025278808298456,0.07994177876381275,-0.13178981805886655,0.21801759562905085,-0.06417624571541537,-0.17299856695859725,0.12400339011009676
0.044,14.28647400125204,-3.1858084034714143,17.472282404723455,0.08716641824493424,-0.135383728427869,0.2281009809881361,-0.06832350314404327,-0.1810858237698371,0.1309503277646037
0.046,14.714522529637206,-3.1972678867785147,17.91179041641572,0.0945410339614889,-0.13895130539062633,0.23834959810140502,-0.0724439682014589,-0.18934744893585415,0.13791409447290368
0.048,15.127072780568295,-3.215573101565489,18.342645882133784,0.10207011839368038,-0.14286221397003518,0.2487751493840964,-0.07650121640319366,-0.19778758358900805,0.14594484724861936
0.05,15.522521622010816,-3.2410249482260616,18.763546570236876,0.10975854473826255,-0.14547007708824042,0.259390390338567,-0.08066243200308668,-0.206410673797978,0.15036166209560856
0.052000000000000005,15.899081923239256,-3.273934321265306,19.173016244504563,0.11761155121008564,-0.14905965502148272,0.2702090949774293,-0.08469767368951993,-0.21522145589773092,0.15765890720966336
0.054,16.254763179352203,-3.314620733560908,19.56938391291311,0.12563480229100707,-0.15735323632048714,0.2812462411018101,-0.08823175994712983,-0.22422500155096725,0.17841752235570843
0.056,16.587369626454727,-3.363411078745885,19.95078070520061,0.13383460054400062,-0.14312661668436172,0.2925186405411841,-0.09401545378064682,-0.23342687586242628,0.1352451674888162
0.058,16.894398127830662,-3.4206365742581633,20.315034702088827,0.14221745477185951,-0.06854261808490264,0.30404369850776525,-0.10587154906950345,-0.24283280326992002,-0.07942057644520029
0.06,17.2999746389266,-3.519084778861063,20.819059417787663,0.1542813820941709,-0.06850343912266252,0.3210437705732159,-0.1131126700785989,-0.2563573474559662,-0.08270517179515009
0.062,17.713723675756277,-3.6332961061224927,21.34701978187877,0.16427934488273388,-0.0699689389033481,0.33742688284445016,-0.1193662877145462,-0.26751096107960387,-0.08418492456274096
0.064,0.0,0.0,0.0,0.1700338962485499,-0.07423270843313792,0.35189958236420693,-0.12375428477117537,-0.27379724841573355,-0.08235634692179475
0.066,0.0,0.0,0.0,0.1697397323695471,-0.08227348035596531,0.3631676376180006,-0.125573527550277,-0.27316768912667483,-0.07609684630638237
0.068,0.0,0.0,0.0,0.16206188443787461,-0.0947337286827548,0.37015179094776457,-0.12432739440819744,-0.26417425170343467,-0.06469530176708596
0.07,0.0,0.0,0.0,0.14623302540092753,-0.11190784381625192,0.37222924451016487,-0.11974669336358938,-0.24610420042897838,-0.04786669344390475
0.07200000000000001,0.0,0.0,0.0,0.1220964765750188,-0.13375002108564607,0.36937480715759896,-0.11178568882073828,-0.21902777391541525,-0.025736645494421555
0.074,0.0,0.0,0.0,0.0900601440607284,-0.15990489506852867,0.36211020707853575,-0.10058926460528873,-0.18372205365880773,0.0012076066834914127
0.076,0.0,0.0,0.0,0.050971738775359,-0.18975625139375202,0.35128503078914997,-0.08643966517017464,-0.14149162941136237,0.03219261987502267
0.078,0.0,0.0,0.0,0.005963798070241388,-0.22248417582093583,0.33780795572397987,-0.06969870211060614,-0.09394895284524471,0.0662466980013896
0.08,0.0,0.0,0.0,-0.043679786345045477,-0.2571205064028282,0.3224430193505974,-0.0507604518633767,-0.042817801103053846,0.10228597488758934
0.082,0.0,0.0,0.0,-0.09660890952372499,-0.29259553449920717,0.3057136650851739,-0.03002272476033931,0.010206456123837672,0.13918821605621112
0.084,0.0,0.0,0.0,-0.1514443524262293,-0.32777481941129694,0.28789452907753027,-0.007877862310665854,0.06353732274118779,0.17585322500674078
0.08600000000000001,0.0,0.0,0.0,-0.20678116741449026,-0.3614861567957678,0.26905056881083583,0.015281398791395544,0.11573230579794005,0.211247986141191
0.088,0.0,0.0,0.0,-0.2611744891671322,-0.3925342655149892,0.24909144363233848,0.03904721373647969,0.1654989515316711,0.24442729436844848
0.09,0.0,0.0,0.0,-0.3131200397542323,-0.41970924959554134,0.2278240633499635,0.06297941764634324,0.21168338320317312,0.27453999644764676
0.092,0.0,0.0,0.0,-0.3610366731295309,-0.4417893889623219,0.20499707595200894,0.0865903182025826,0.2532468466277449,0.30081916763211625
0.094,0.0,0.0,0.0,-0.4032539949429763,-0.4575379953531057,0.18033632823980497,0.1093345620760312,0.28923066709805134,0.32255372291444445
0.096,0.0,0.0,0.0,-0.4380045844635021,-0.4656936756383562,0.15357192512628398,0.13060589860944835,0.3187064776749634,0.33903879847088475
0.098,0.0,0.0,0.0,-0.4634175808401165,-0.4649526930566629,0.12445740147560228,0.1497418330813924,0.3407065006128629,0.34950072186960307
0.1,0.0,0.0,0.0,-0.4783116691782775,-0.4547390846343655,0.09301462667124488,0.1662715394069452,0.35468784446558316,0.3535420231573464
0.10200000000000001,0.0,0.0,0.0,-0.48338788955421796,-0.43631382281283837,0.05987457160196471,0.18027776183478936,0.3612448224431467,0.3518272135854251
0.10400000000000001,0.0,0.0,0.0,-0.4795666826568411,-0.4110467268040277,0.025748040045332446,0.19190491117421138,0.36095323886779873,0.3449374004417609
0.106,0.0,0.0,0.0,-0.46785752897023236,-0.3802809138752117,-0.008655537181048577,0.20131475106926194,0.35436859251420594,0.3333652407669391
0.108,0.0,0.0,0.0,-0.44937049647157,-0.3453460324884599,-0.042654934328744315,0.20868481986042153,0.3421052964597502,0.3175974164320791
0.11,0.0,0.0,0.0,-0.42531201893841813,-0.3075579104815921,-0.07561625484111975,0.21420320473366167,0.32488440391890694,0.2981724335012545
0.112,0.0,0.0,0.0,-0.3969676956577756,-0.2682072398071333,-0.10696310536440622,0.21806048222228147,0.3035533570032957,0.27571553452596526
0.114,0.0,0.0,0.0,-0.3656748051884441,-0.22854065481270475,-0.13617739043917676,0.22044004908801307,0.27908205479033404,0.2509522893110204
0.116,0.0,0.0,0.0,-0.33278704007183346,-0.1897376234180522,-0.16279244939424387,0.22150852833678591,0.25253989378250746,0.22470303706043143
0.11800000000000001,0.0,0.0,0.0,-0.29963343628402006,-0.15288482553657928,-0.1863827938024976,0.22140819646925164,0.22505800717008648,0.19785832126244518
0.12,0.0,0.0,0.0,-0.26747266599509,-0.1189531700241793,-0.2065566665053552,0.22025289591983024,0.1977799413735045,0.1713499076675355
0.122,0.0,0.0,0.0,-0.237443184996399,-0.08877187812491744,-0.2229582697261384,0.2181287617574535,0.1718030607395172,0.14610495971321397
0.124,0.0,0.0,0.0,-0.2105097425386506,-0.06299895533516517,-0.23528524345268864,0.2151004213134825,0.14811275386085793,0.12298555413318185
0.126,0.0,0.0,0.0,-0.1874079054109194,-0.042089268498388815,-0.24332349938484132,0.21122197954424768,0.12751248757783962,0.10272212852603255
0.128,0.0,0.0,0.0,-0.1685904566558233,-0.02626071372718248,-0.24699609698729694,0.20655082819262172,0.11055484255113764,0.08584569613839471
0.13,-19.370410569305058,5.9229014212741715,25.29331199057923,-0.1541819581192996,-0.015460514275148381,-0.24641691545981217,0.2011611620577245,0.09748104682770427,0.07262517393569877
0.132,-18.696417928313732,5.128588776339534,23.825006704653266,-0.14394887434584824,-0.009334849268176501,-0.24193616209006935,0.19515361665115,0.08817771132665607,0.06301689315253567
0.134,-17.995099520462396,4.571774918668777,22.566874439131173,-0.13729091522389789,-0.007204988721861075,-0.23416614526524748,0.1886581820000746,0.08215787876366917,0.05663217343147878
0.136,-17.274122139198493,4.1958732902815195,21.46999542948001,-0.13325426794587633,-0.00805152709126971,-0.22398296248775118,0.181829570964495,0.07856840307617817,0.05272512880303897
0.138,-16.545195898943486,3.925154276552705,20.470350175496193,-0.13056050736884373,0.0771545211865417,-0.21250990135187836,0.18821884953333548,0.07621789799054846,-0.21139874452003976
0.14,-15.8170085305103,3.6795158835092954,19.496524414019596,-0.12793487316649857,0.06739973935962282,-0.20084383903052988,0.1778558163068227,0.07389567689021213,-0.19657730577198812
0.14200000000000002,-15.091210847159438,3.4414413513861235,18.532652198545563,-0.1251048988646488,0.057883105231131333,-0.18921515350384183,0.16781861016022276,0.07134011956150363,-0.1820190717274788
0.14400000000000002,-14.68028789485245,3.307985783765093,17.988273678617542,-0.12338625924802352,0.05261884772204106,-0.18264424420926806,0.162300643983525,0.06975962456490846,-0.17391127214055596
0.146,-14.271494833903153,3.180193396897412,17.451688230800563,-0.12164072942969018,0.047383448062856395,-0.17607714282133735,0.1568195108969819,0.06814794792955009,-0.1658352848819247
0.148,-13.862930500896407,3.0531874320256334,16.91611793292204,-0.11980780645580552,0.04224183641586467,-0.16952241712999622,0.15145808535344116,0.0664349309682112,-0.15786268769024073
0.15,-13.455748614412474,2.9297493485604447,16.38549796297292,-0.11792138740236374,0.03715542963571557,-0.16297413019735682,0.14616474589553413,0.06465944163948695,-0.14995083721485716
0.152,-13.04981498556094,2.8093771552061964,15.859192140767137,-0.11597478525942016,0.03213112833076434,-0.15643308686825674,0.14094800328396492,0.06281367089745414,-0.1421073267953114
0.154,-12.64446824198619,2.690491347755196,15.334959589741384,-0.11394829536330169,0.027186192309037086,-0.1498999242338578,0.1358258668647023,0.06087398737284793,-0.13435096391813353
0.156,-12.241455891167755,2.5769206331275103,14.818376524295266,-0.11188851890336039,0.022274325155319998,-0.14337004522225122,0.13074314969223427,0.058895173522169546,-0.1266309125169425
0.158,-11.83818938691405,2.4627734090105955,14.300962795924647,-0.10972260726892326,0.017464072288848605,-0.1368482774959848,0.12577752670793887,0.05679081422415403,-0.11902217128797615
0.16,-11.437661212256717,2.3545485134291253,13.792209725685844,-0.10753021588725276,0.012678498330667323,-0.13032808132189846,0.12083964205914895,0.05465499605190761,-0.11144041032620089
0.162,-11.037487680506446,2.246919011700815,13.284406692207261,-0.10524520844438774,0.007978455110726448,-0.12381285326642803,0.11599705050450063,0.052408987222056856,-0.10395209181108497
0.164,-10.63947746638754,2.143665574037558,12.783143040425097,-0.10291397783693464,0.003319619808221546,-0.1172990235820855,0.11119885354064588,0.05010768724879144,-0.0965086622991583
0.166,-10.242979013519872,2.04321839520483,12.286197408724702,-0.10051671413721276,-0.0012803470408035622,-0.11078719157078254,0.10646407742078177,0.04772739992779069,-0.08912935993464453
0.168,-9.8477841999684,1.945086242436474,11.792870442404874,-0.0980468818160041,-0.005817817912348546,-0.10427581000898711,0.10179441142378677,0.04525987505260914,-0.08181792356734642
0.17,-9.45531979268625,1.8519255446381546,11.307245337324405,-0.09553746661034805,-0.010321200068904482,-0.09776467414692289,0.0971602600392657,0.04274476605696526,-0.0745435050167112
0.17200000000000001,-9.063259655293553,1.7590481444742745,10.822307799767827,-0.09292909571846537,-0.014742210416738288,-0.09125170340369802,0.09260910235036009,0.04011015487126778,-0.0673582383658713
