time,LF_GRF_x,LF_GRF_y,LF_GRF_z,LF_ThC1_pos,LF_ThC1_acc,LF_ThC3_pos,LF_ThC3_acc,LF_CTr_pos,LF_CTr_acc,LF_TrF_pos,LF_TrF_acc,LF_FTi_pos,LF_FTi_acc
0.0,0.0,0.0,0.0,0.22347398571834692,0.2007302730813286,-0.5172539692865519,-0.5373152351230763,0.8015958446570248,0.7865432730796282,-0.24399687379051438,-0.24399687379051438,0.17143821972205484,0.17143821972205484
0.002,0.0,0.0,0.0,0.22059557061986024,0.20166771156876154,-0.5115602561063751,-0.5263656140564045,0.7992703017720298,0.791958785814593,-0.24703764437753922,-0.24648471395367963,0.17746051466786328,0.1616361946496809
0.004,0.0,0.0,0.0,0.21769592330858661,0.2023895406066175,-0.5060221375322455,-0.5157285732841078,0.7969450729765488,0.7972583869158318,-0.25007861499991874,-0.24893024811366704,0.18334212230745578,0.1516716487586398
0.006,0.0,0.0,0.0,0.21478434276713637,0.20279044283883904,-0.5007599971115224,-0.5056334307998804,0.7945882306318443,0.8023010926476823,-0.2531190128376028,-0.25133351727950065,0.18908485177394668,0.1415423187455492
0.008,0.0,0.0,0.0,0.21187012797811988,0.20276510090936883,-0.49589421839156544,-0.4963095045974162,0.7921678470991791,0.8069459192744824,-0.2561580709355242,-0.25369455894254067,0.19469048819508886,0.13124587293814904
0.01,0.0,0.0,0.0,0.2089625779241474,0.2022081974621495,-0.4915451849197343,-0.48798611267040926,0.7896519947398165,0.8110518830605701,-0.2591950405869066,-0.2560133994812278,0.2001607421290559,0.12077976475358634
0.012,0.0,0.0,0.0,0.20607099158782924,0.20101441514112361,-0.4878332802433883,-0.4808925730125534,0.787008745915019,0.814478000270283,-0.26222918648118365,-0.2582900551538334,0.20549727080006558,0.11014126429838869
0.014,0.0,0.0,0.0,0.20320466795177572,0.19907843659023386,-0.48487888790988715,-0.4752582036175429,0.7842061729860499,0.8170832871679593,-0.2652597855131144,-0.2605245316801836,0.2107016837640813,0.0993274572134053
0.016,0.0,0.0,0.0,0.2003729059985972,0.19629494445342288,-0.4828023914665903,-0.4713123224790714,0.7812123483141716,0.8187267600179367,-0.2682861279013051,-0.262716822036687,0.215775539388158,0.08833521107631219
0.018000000000000002,0.0,0.0,0.0,0.20302809959108642,0.19935716835104006,-0.48431106652404987,-0.47416945362032126,0.7841402140098845,0.8176731649507836,-0.2713075163187735,-0.26486690528001694,0.22072034953496644,0.07716116224985259
0.02,0.0,0.0,0.0,0.20037290599859717,0.1962949444534229,-0.4828023914665903,-0.47131232247907145,0.7812123483141716,0.8187267600179367,-0.27432326489585745,-0.26697474614810224,0.22553758425345974,0.0658017132323615
0.022,0.0,0.0,0.0,0.19771552574062387,0.1932332359199885,-0.48128578013066536,-0.46839742057489336,0.7783675277846558,0.8199241830890327,-0.27733269951024025,-0.26904029313143357,0.23022867169517336,0.05425300454669817
0.024,0.0,0.0,0.0,0.19505572740116478,0.19017250658933693,-0.4797612515060484,-0.4654230439333091,0.7756048216997612,0.821267447614194,-0.28033515772694717,-0.2710634763323838,0.2347949996499344,0.042510883912130294
0.026000000000000002,0.0,0.0,0.0,0.19239329818925166,0.18711324803933663,-0.4782288185591325,-0.46238739207354357,0.7729233285488031,0.822758729539803,-0.28332998776831286,-0.27304420717725686,0.23923792016305426,0.030570903677291587
0.028,0.0,0.0,0.0,0.18972804392896608,0.1840559828304275,-0.47668848855340634,-0.45928855785018063,0.7703221753730088,0.8244003836629445,-0.28631654857429173,-0.27498237656589064,0.2435587502626719,0.018428292818322447
0.03,0.0,0.0,0.0,0.18705978949958946,0.18100127030495033,-0.47514026333526393,-0.4561245092786273,0.7678005175732012,0.8261949728433281,-0.28929421016333906,-0.27687785161737744,0.2477587720659052,0.006077906573835005
0.032,0.0,0.0,0.0,0.18438837702222197,0.17794970833982438,-0.4735841401998125,-0.45289308550876894,0.76535753547401,0.8281452732744844,-0.29226235269033823,-0.27873047522987365,0.25183923687129833,-0.006485780768258126
0.034,0.0,0.0,0.0,0.18171366546921322,0.17490193707426677,-0.47202011226029916,-0.449591985995485,0.7629924331927956,0.8302542911399483,-0.2952203663131898,-0.2805400643516504,0.25580136643779494,-0.019268703860633445
0.036000000000000004,0.0,0.0,0.0,0.1790355313763634,0.17185864769475973,-0.47044816862421274,-0.44621874392803745,0.7607044388863494,0.8325253043853418,-0.2981676517583382,-0.28230640554009595,0.2596463524988545,-0.03227727813627193
0.038,0.0,0.0,0.0,0.17635386741103942,0.16882058648875747,-0.46886829505033323,-0.4427707160075732,0.7584928020696059,0.8349618769568563,-0.30110361961545856,-0.2840292537339414,0.2633753599123146,-0.04551842244556263
0.04,0.0,0.0,0.0,0.17366858164118423,0.1657885593360734,-0.4672804743372772,-0.43924507052488376,0.7563567921261186,0.8375678760212473,-0.30402769001444013,-0.285708330666613,0.26698952837376405,-0.05899958745019746
0.042,0.0,0.0,0.0,0.17097959821659167,0.16276344404904142,-0.4656846864839862,-0.43563875164712507,0.7542956985408835,0.8403475265719184,-0.30693929321077534,-0.28734331932311064,0.27048997190618757,-0.07272884897635133
0.044,0.0,0.0,0.0,0.1682868565182602,0.15974619974655166,-0.46408090915047595,-0.4319484548439078,0.7523088291373711,0.8433054465396251,-0.30983786924669326,-0.28893386075568683,0.2738777808488275,-0.08671496638714267
0.046,0.0,0.0,0.0,0.1655903101056619,0.15673787224999283,-0.46246911803796337,-0.42817061406182577,0.7503955083182883,0.8464466637055491,-0.3127228674238706,-0.29047955277519666,0.2771540239255974,-0.10096740982120815
0.048,0.0,0.0,0.0,0.16288992719275075,0.1537396107967104,-0.46084928706302347,-0.42430135576979877,0.7485550770806129,0.8497766835914865,-0.3155937467864769,-0.2919799433828832,0.2803197479859701,-0.11549647544742861
0.05,0.0,0.0,0.0,0.16018569060349072,0.15075269105978417,-0.4592213886741556,-0.42033643844306456,0.7467868922601405,0.8533015760131334,-0.3184499763364057,-0.29343452274920584,0.2833759786565278,-0.13031343125384473
0.052000000000000005,0.0,0.0,0.0,0.15747759596269498,0.1477785135405963,-0.4575853942061075,-0.4162712612601856,0.7450903241784133,0.8570279578709816,-0.3212910339417038,-0.29484272551007995,0.28632372328816613,-0.14543048542639198
0.054,0.0,0.0,0.0,0.15476565215327934,0.1448186311124482,-0.4559412740576368,-0.41210079212385337,0.7434647566307642,0.8609630956211064,-0.32411640684357573,-0.2962039212281219,0.2891639706928303,-0.16086095934059633
0.056,0.0,0.0,0.0,0.1520498845602105,0.1418748406840406,-0.4542889978655369,-0.4078193253300676,0.7419095892696225,0.8651152532411132,-0.3269255943256512,-0.2975173814299887,0.29189768730325705,-0.17661987718992128
0.058,0.0,0.0,0.0,0.14933032384070247,0.13894901833451215,-0.4526285350320747,-0.4034209369365255,0.7404242267934082,0.8694930175901829,-0.3297180995273137,-0.29878234594371655,0.2945258324176265,-0.1927228142221438
0.06,0.0,0.0,0.0,0.14552470486573943,0.13577126465752545,-0.45028122412078736,-0.3981918440696572,0.7380767851242416,0.8744596831976463,-0.3338008390251817,-0.3002619509314189,0.29852940179490456,-0.21155544122751832
0.062,0.0,0.0,0.0,0.14252850483154256,0.13326372859070718,-0.44834284810472363,-0.3937508003559172,0.7340926567741956,0.8768399187480703,-0.33821581788680927,-0.3019610021408141,0.30444156902541036,-0.22605652397020815
0.064,0.0,0.0,0.0,0.14102312150506693,0.13189477417676715,-0.4471749176990208,-0.39096233313766277,0.727014360973142,0.8741210925124434,-0.34328310516256894,-0.3041359142336101,0.31398590323175835,-0.23211197210349752
0.066,0.0,0.0,0.0,0.1415456388147578,0.13201364471159185,-0.4470725117105752,-0.39054848314902585,0.7157416802573494,0.8643335216916201,-0.34926054271009066,-0.30699841591222454,0.3284153186508245,-0.22649814132545645
0.068,0.0,0.0,0.0,0.14449412818147872,0.13389252297808174,-0.44827043730149524,-0.39297984422799515,0.6995345151781668,0.846247989949525,-0.3563330073688005,-0.31071662567605945,0.3484771684682635,-0.20723369808292932
0.07,0.0,0.0,0.0,0.1501335641673885,0.1377581704563119,-0.45094954613440547,-0.39840106477367043,0.6780067736738074,0.819505219917786,-0.3646020056982486,-0.31541045706456006,0.3743978687138159,-0.17381439640783547
0.07200000000000001,0.0,0.0,0.0,0.1586027349407629,0.14379414942808028,-0.45524198118134834,-0.40665216152308903,0.6511069549728459,0.7845708512050735,-0.3740760519966812,-0.3211417515305056,0.40590186542759665,-0.12714354065414538
0.074,0.0,0.0,0.0,0.16992217880433472,0.1521170627292108,-0.46123400992410246,-0.41738039215605754,0.6190872462489798,0.7425148435068121,-0.38466189373184034,-0.3279033222600284,0.44226717997959275,-0.069150666265332
0.076,0.0,0.0,0.0,0.18400269341889802,0.16274980622867463,-0.4689651923825657,-0.4301735409231009,0.5824682397535359,0.6947238974402883,-0.3961565054565088,-0.3356113348443237,0.48240889195378167,-0.002280733042206426
0.078,0.0,0.0,0.0,0.20065354138423158,0.17561027182829494,-0.47842313941569237,-0.44464916115243924,0.5420086697936682,0.6426683629185943,-0.40823996831846876,-0.3441027815116192,0.5249761934541365,0.07093749687320686
0.08,0.0,0.0,0.0,0.21958927491287544,0.1905166207217449,-0.48953404786890964,-0.46048286452239645,0.4986880264785503,0.5877773638665389,-0.4204700831663304,-0.3531371634545966,0.5684489938521636,0.14814873642468346
0.082,0.0,0.0,0.0,0.24043418793266952,0.2072002379178147,-0.5021504147201706,-0.477394626729575,0.45370521080804727,0.5314105794449007,-0.43228097099284263,-0.36240040360493403,0.6112244793498556,0.2272713398349611
0.084,0.0,0.0,0.0,0.2627237908527472,0.22531909558735339,-0.516038641670247,-0.4951198501307701,0.4084899403201595,0.47488856146385455,-0.4429898540310939,-0.37150936208210517,0.651689306734813,0.3065086706833539
0.08600000000000001,0.0,0.0,0.0,0.2859034395845123,0.24446912636672638,-0.5308703696847099,-0.5133838394311069,0.36471675339275555,0.41954773432408654,-0.45181801850901815,-0.3800161668210267,0.6882766755165668,0.38433455205479183
