time,LH_GRF_x,LH_GRF_y,LH_GRF_z,LH_CTr_theta,LH_CTr_vel,LH_TrF_theta,LH_TrF_vel,LH_FTi_theta,LH_FTi_vel
0.0,-0.566105143518657,2.583834825848764,5.106974916047661,-0.03738526546146782,0.0,-0.01631661082122986,0.0,-0.017369172166783846,0.0
0.002,0.5399607695526443,2.918549344718002,5.425480622187239,-0.027129016992961434,5.128124234253194,-0.02476622428810365,-4.2248067334368935,-0.03077682944550667,-6.7038286393614115
0.004,1.634099477440119,3.248827682754571,5.744245113305294,-0.016709940462641414,5.20953826516001,-0.03325810856275033,-4.245942137323339,-0.044334960623084514,-6.779065588788923
0.006,2.6063548894415285,3.5285504547077684,6.134905344149297,-0.006168807208926808,5.270566626857303,-0.04173189731461528,-4.2368943759324775,-0.057945305101582495,-6.80517223924899
0.008,3.1661666971267843,3.6367725898490746,6.8029392869758585,0.004453611429763325,5.311209319345067,-0.050127224213143876,-4.197663449264296,-0.07150960228306562,-6.782148590741562
0.01,3.7039589601412573,3.733740762397736,7.437699722538993,0.01511654411500989,5.3314663426232825,-0.05838372292778149,-4.128249357318807,-0.08492959156959895,-6.709994643266666
0.012,4.215561058308801,3.8165937708902016,8.032154829199001,0.025779219508393864,5.331337696691987,-0.0664410271279735,-4.028652100096008,-0.09810701236324756,-6.588710396824307
0.014,4.697259225341471,3.8824660757044587,8.57972530104593,0.03640086627149618,5.310823381551156,-0.07423877048316531,-3.898871677595901,-0.11094360406607655,-6.418295851414491
0.016,5.145867033881121,3.9285013922338345,9.074368426114955,0.04694071306589776,5.269923397200793,-0.08171658666280227,-3.738908089818478,-0.12334110608015095,-6.1987510070372
0.018000000000000002,4.732131559031208,3.894660331929155,8.626791890960362,0.03703787649998131,-4.951418282958225,-0.07482428565233175,3.4461505052352583,-0.11187063597849059,5.735235050830179
0.02,5.14586703388112,3.9285013922338345,9.074368426114955,0.04694071306589776,4.951418282958225,-0.08171658666280225,-3.4461505052352512,-0.12334110608015093,-5.7352350508301715
0.022,5.552170889376244,3.9637508627670455,9.515921752143289,0.0569921956573878,5.025741295745019,-0.08872227778474603,-3.5028455609718914,-0.13503301177342691,-5.84595284663799
0.024,5.949965795106895,4.000407032525033,9.950372827631927,0.06719833271288492,5.103068527748559,-0.09585101634320348,-3.564369279228721,-0.1469544622100741,-5.960725218323595
0.026000000000000002,6.3380251378174615,4.038449027005317,10.376474164822778,0.0775656209722611,5.183644129688095,-0.1031133776617216,-3.6311806592590616,-0.15911420136401358,-6.079869576969737
0.028,6.714950335145924,4.07783225906086,10.792782594206784,0.08810110469034801,5.267741859043454,-0.1105209823669728,-3.703802352625601,-0.17152168334684167,-6.203740991414048
0.03,7.079148636885204,4.1184839340285215,11.197632570913726,0.09881248196623368,5.355688637942834,-0.11808672517719308,-3.7828714051101398,-0.18418720756870532,-6.332762110931824
0.032,7.428796307370708,4.160294993648434,11.589091301019142,0.10970814097755718,5.447829505661749,-0.12582487414207705,-3.8690744824419823,-0.19712196244273641,-6.467377437015545
0.034,7.761798316331383,4.203110895176927,11.96490921150831,0.12079723173993927,5.544545381191042,-0.1337512385284555,-3.963182193189224,-0.2103381150369626,-6.608076297113088
0.036000000000000004,8.07574979715206,4.246722611715688,12.322472408867748,0.1320898329455311,5.64630060279591,-0.14188354511504178,-4.066153293293143,-0.22384902102300738,-6.755452993022395
0.038,8.367876736255688,4.290852076894855,12.658728813150542,0.14359703840398844,5.753602729228674,-0.15024166647511178,-4.179060680034999,-0.23766932959560275,-6.910154286297682
0.04,8.634963540847757,4.335133496880512,12.97009703772827,0.15533105206804926,5.867006832030411,-0.1588478649773808,-4.3030992511345065,-0.25181509955429865,-7.072884979347951
0.042,8.873280136217197,4.379093891709868,13.252374027927065,0.1673054362290244,5.987192080487577,-0.1677273868598742,-4.439760941246706,-0.26630410746517075,-7.244503955436049
0.044,9.078482628269224,4.422125627866326,13.50060825613555,0.17953532085094612,6.114942310960853,-0.17690901439153403,-4.590813765829912,-0.28115610147324316,-7.425997004036206
0.046,9.245477794013079,4.463447051122899,13.708924845135979,0.19203753642536087,6.251107787207374,-0.18642544153300797,-4.758213570736968,-0.2963929593493513,-7.618428938054062
0.048,9.368277802546366,4.502058334439642,13.870336136986008,0.2048309824637647,6.396723019201911,-0.19631422045429725,-4.944389460644641,-0.31203913814077283,-7.823089395710775
