time,LH_GRF_x,LH_GRF_y,LH_GRF_z,LH_CTr_pos,LH_CTr_acc,LH_TrF_pos,LH_TrF_acc,LH_FTi_pos,LH_FTi_acc,cluster labels
0.0,-0.566105143518657,2.583834825848764,5.106974916047661,-0.0373852654614678,-0.0397291095453704,-0.0163166108212298,-0.0171637201732887,-0.0173691721667838,-0.0180833679406408,1.0
0.002,0.5399607695526443,2.918549344718002,5.425480622187239,-0.0271290169929614,-0.034233462608592,-0.0247662242881036,-0.0217972339289147,-0.0307768294455066,-0.025431389270917,1.0
0.004,1.634099477440119,3.248827682754571,5.744245113305294,-0.0167099404626414,-0.0286789642458075,-0.0332581085627503,-0.0264381298095175,-0.0443349606230845,-0.0327914452070169,1.0
0.006,2.6063548894415285,3.5285504547077684,6.134905344149297,-0.0061688072089268,-0.0230819778787119,-0.0417318973146152,-0.0310538927615702,-0.0579453051015824,-0.0401100705996041,1.0
0.008,3.1661666971267843,3.6367725898490746,6.8029392869758585,0.0044536114297633,-0.0174588669290004,-0.0501272242131438,-0.035612007731546,-0.0715096022830656,-0.047333800299342,1.0
0.01,3.703958960141257,3.733740762397736,7.437699722538993,0.0151165441150098,-0.0118259948183681,-0.0583837229277814,-0.0400799596659182,-0.0849295915695989,-0.054409169156894,1.0
0.012,4.215561058308801,3.8165937708902016,8.032154829199001,0.0257792195083938,-0.0061997249685101,-0.0664410271279735,-0.04442523351116,-0.0981070123632475,-0.0612827120229235,1.0
0.014,4.697259225341471,3.8824660757044582,8.57972530104593,0.0364008662714961,-0.0005964208011215,-0.0742387704831653,-0.0486153142137446,-0.1109436040660765,-0.067900963748094,1.0
0.016,5.145867033881121,3.9285013922338345,9.074368426114956,0.0469407130658977,0.0049675542621025,-0.0817165866628022,-0.0526176867201453,-0.1233411060801509,-0.0742104591830689,1.0
0.018,4.732131559031208,3.894660331929155,8.626791890960362,0.0370378764999813,-0.0002635875508495,-0.0748242856523317,-0.0489365444439641,-0.1118706359784905,-0.0684141244748279,1.0
0.02,5.14586703388112,3.9285013922338345,9.074368426114956,0.0469407130658977,0.0049675542621025,-0.0817165866628022,-0.0526176867201453,-0.1233411060801509,-0.0742104591830689,1.0
0.022,5.552170889376244,3.9637508627670455,9.515921752143289,0.0569921956573878,0.0102256659933958,-0.088722277784746,-0.0563204971928878,-0.1350330117734269,-0.0800368127745186,1.0
0.024,5.949965795106895,4.000407032525033,9.950372827631927,0.0671983327128849,0.0155111734255808,-0.0958510163432034,-0.0600458174858994,-0.1469544622100741,-0.0858937092463654,1.0
0.026,6.3380251378174615,4.038449027005317,10.376474164822778,0.0775656209722611,0.0208245169870943,-0.1031133776617216,-0.0637945197752938,-0.1591142013640135,-0.0917816901848472,1.0
0.028,6.714950335145924,4.07783225906086,10.792782594206784,0.088101104690348,0.0261661526929977,-0.1105209823669728,-0.0675675089588804,-0.1715216833468416,-0.0977013158731091,1.0
0.03,7.079148636885204,4.1184839340285215,11.197632570913726,0.0988124819662336,0.0315365538907045,-0.118086725177193,-0.0713657266253647,-0.1841872075687053,-0.103653167352299,1.0
0.032,7.428796307370708,4.160294993648434,11.589091301019142,0.1097081409775571,0.0369362109050575,-0.125824874142077,-0.0751901505951435,-0.1971219624427364,-0.1096378459639252,1.0
0.034,7.761798316331383,4.203110895176927,11.96490921150831,0.1207972317399392,0.0423656317152288,-0.1337512385284555,-0.0790417966014214,-0.2103381150369626,-0.1156559741324208,1.0
0.036,8.07574979715206,4.246722611715688,12.322472408867748,0.1320898329455311,0.0478253442185142,-0.1418835451150417,-0.082921723490744,-0.2238490210230073,-0.1217081980295539,1.0
0.038,8.367876736255688,4.290852076894855,12.658728813150542,0.1435970384039884,0.053315896209094,-0.1502416664751117,-0.0868310335442339,-0.2376693295956027,-0.1277951875058494,1.0
0.04,8.634963540847757,4.335133496880512,12.97009703772827,0.1553310520680492,0.0588378557311503,-0.1588478649773808,-0.0907708735345231,-0.2518150995542986,-0.1339176364765794,1.0
0.042,8.873280136217197,4.379093891709868,13.252374027927065,0.1673054362290244,0.0643918136196698,-0.1677273868598742,-0.0947424406798927,-0.2663041074651707,-0.1400762658962515,1.0
0.044,9.078482628269224,4.422125627866326,13.50060825613555,0.1795353208509461,0.0699783842823107,-0.176909014391534,-0.0987469848382679,-0.2811561014732431,-0.146271824629112,1.0
0.046,9.24547779401308,4.463447051122899,13.70892484513598,0.1920375364253608,0.0755982055922776,-0.1864254415330079,-0.1027858086205406,-0.2963929593493513,-0.1525050892782865,1.0
0.048,9.368277802546366,4.502058334439642,13.870336136986008,0.2048309824637647,0.0812519414554505,-0.1963142204542972,-0.1068602735701363,-0.3120391381407728,-0.1587768671689561,1.0
0.05,9.439827043717504,4.536687513015225,13.976514556732727,0.2179371819012595,0.0869402843455064,-0.206619266510047,-0.1109718065288957,-0.3281223408019186,-0.1650879992598637,1.0
0.052,9.451715934017525,4.56569609979248,14.017412033810004,0.231380291389678,0.0926639532929901,-0.2173909760386656,-0.1151218953868781,-0.3446735177510287,-0.171439357731233,1.0
0.054,9.39389392763402,4.586978380109055,13.980872307743072,0.2451877997806984,0.0984236969844404,-0.2286881648507069,-0.1193120967201945,-0.3617277014297948,-0.1778318495612082,1.0
0.056,9.254385117296437,4.597868951233373,13.85225406852981,0.2593928661453947,0.1042203054683345,-0.2405845517591369,-0.1235440639924402,-0.3793268001617892,-0.1842664301176637,1.0
0.058,9.018443034963775,4.594803260839286,13.613246295803062,0.2740304948384603,0.1100545821063335,-0.2531587148566948,-0.1278194818739386,-0.3975149587796533,-0.1907440703408572,1.0
0.06,8.500327015954783,4.562644081246987,13.06297109720177,0.2954988960177415,0.1182155045308046,-0.2726324277644672,-0.1341671522871524,-0.4242475388189669,-0.1997699001693331,1.0
0.062,7.909421613644044,4.520413653487991,12.429835267132034,0.3144518864197284,0.1242020360128274,-0.2927824914354738,-0.1408367228346864,-0.4477171019366601,-0.2061586570773401,1.0
0.064,7.517293640824687,4.517357946220399,12.034651587045088,0.3274822641458986,0.1261184986979987,-0.3119195933952679,-0.1479292195059126,-0.4633789317873955,-0.2075960803983188,1.0
0.066,0.0,0.0,0.0,0.3314852813105151,0.1225076924377476,-0.3276839543273359,-0.1554363402009089,-0.4670968099375283,-0.2023129618716335,0.0
0.068,0.0,0.0,0.0,0.3241191152593604,0.1124057247055154,-0.3377633555505486,-0.1632817021476795,-0.4558622161627599,-0.1891961037629908,0.0
0.07,0.0,0.0,0.0,0.3043607941304529,0.0953736686637065,-0.3410656626789067,-0.171369293219337,-0.4285911807521959,-0.1678595998067902,0.0
0.072,0.0,0.0,0.0,0.2727203646088457,0.0714759320165556,-0.3383886395765945,-0.179620903963351,-0.3863825207682879,-0.1386255989038602,0.0
0.074,0.0,0.0,0.0,0.2308530655512103,0.0411995413333541,-0.3318360366142497,-0.1879875575441816,-0.331928683240263,-0.1024040691054023,0.0
0.076,0.0,0.0,0.0,0.1808643469205125,0.0053360619452764,-0.3236058714259404,-0.1964340150188573,-0.2685228952829975,-0.0605059705982138,0.0
0.078,0.0,0.0,0.0,0.124781209047851,-0.0351395513165348,-0.3152204346094685,-0.2049082177702771,-0.1993031277490175,-0.0144448109218765,0.0
0.08,0.0,0.0,0.0,0.0643435065090016,-0.0791659990212982,-0.3074170698374487,-0.2133097892615073,-0.126931868193449,0.0342294230382476,0.0
0.082,0.0,0.0,0.0,0.0010058823820253,-0.1256578044373918,-0.3003459519750827,-0.2214658027967863,-0.0535646860912546,0.0840456275870778,0.0
0.084,0.0,0.0,0.0,-0.063980832019231,-0.1735311900652629,-0.2937884088303967,-0.2291164121926319,0.0190692795081108,0.1336682625703133,0.0
0.086,0.0,0.0,0.0,-0.1294767653526087,-0.2217063788018846,-0.2873050464322584,-0.2359072428691261,0.0895691669054686,0.1819172418190329,0.0
0.088,0.0,0.0,0.0,-0.1943706598040325,-0.2690995537786234,-0.2803182205821983,-0.2413858261587456,0.1567777931845089,0.2277752576716063,0.0
0.09,0.0,0.0,0.0,-0.2575107938837471,-0.3146037947232621,-0.2721539811007536,-0.2450032916347115,0.2197132152236761,0.2703729145059597,0.0
0.092,0.0,0.0,0.0,-0.3176466259960065,-0.3570636474729115,-0.2620643162011079,-0.2461209979566587,0.2775092190558331,0.3089579367714793,0.0
0.094,0.0,0.0,0.0,-0.3733781327872076,-0.3952436176080746,-0.2492428638060527,-0.244022513686355,0.3293549147878447,0.342845855763597,0.0
0.096,0.0,0.0,0.0,-0.4231102931419613,-0.4277893907225316,-0.2328414864128073,-0.2379309838218491,0.3744232891457643,0.3713474485802034,0.0
0.098,0.0,0.0,0.0,-0.4650102939415655,-0.4531794218782292,-0.2119914614620837,-0.2270314223978943,0.411778954472819,0.3936662147444378,0.0
0.1,0.0,0.0,0.0,-0.4976852549841392,-0.4703754647745812,-0.1863059398938692,-0.2109713560214502,0.4408322512354765,0.4093329206178723,0.0
0.102,0.0,0.0,0.0,-0.5212847152712218,-0.4798418010479721,-0.1565979026289108,-0.1905698399563707,0.4620508992947968,0.4188847107117399,0.0
0.104,0.0,0.0,0.0,-0.5361196530300084,-0.4821245507051774,-0.1238440250247927,-0.1667756766312835,0.4758008999946793,0.4227139959713088,0.0
0.106,0.0,0.0,0.0,-0.5426126988294273,-0.4777911792332652,-0.0890557363753847,-0.1405399676540253,0.4823927050031931,0.4211004200878724,0.0
0.108,0.0,0.0,0.0,-0.541350925524688,-0.4674853570969304,-0.0532456896396555,-0.1127886949818232,0.4822000481943283,0.4143282159186104,0.0
0.11,0.0,0.0,0.0,-0.5331064397038735,-0.4519556607373158,-0.0173930846097678,-0.0843991502735922,0.4757365073815436,0.402767368245051,0.0
0.112,0.0,0.0,0.0,-0.5188307520530879,-0.43206192941812,0.0175890256336271,-0.0561806868135732,0.4636931814594148,0.3869216956821837,0.0
0.114,0.0,0.0,0.0,-0.4996284388397739,-0.408763338994433,0.0508793111858573,-0.0288611251667485,0.4469418114436643,0.3674469946634401,0.0
0.116,0.0,0.0,0.0,-0.4767153035368263,-0.3830925221231803,0.081762637095295,-0.0030798458250787,0.4265094036079668,0.3451437610684161,0.0
0.118,0.0,0.0,0.0,-0.4513657420928682,-0.3561181484188026,0.1096330778159152,0.0206128311536737,0.4035315518038291,0.320925512962711,0.0
0.12,0.0,0.0,0.0,-0.4248532126326504,-0.3289042005172034,0.1339894051180444,0.0417526106064059,0.3791915635726668,0.2957811585842872,0.0
0.122,0.0,0.0,0.0,-0.3983868257643458,-0.3024635015159405,0.1544299634402222,0.0599584433062797,0.3546513908299004,0.2707235041253844,0.0
0.124,0.0,0.0,0.0,-0.3730465437125484,-0.2777045846279197,0.1706543440889037,0.0749346609274146,0.3309790610752594,0.2467202923137077,0.0
0.126,0.0,0.0,0.0,-0.3497197263842959,-0.2553773748440523,0.1824770990712501,0.0864820186229795,0.3090766590558419,0.2246213301807507,0.0
0.128,0.0,0.0,0.0,-0.3290428763772781,-0.2360202388183893,0.1898545497786711,0.0945190167695247,0.2896133126874217,0.2050863262833901,0.0
0.13,-19.54897977827288,-9.447961191620683,28.996940969893565,-0.3113539103709741,-0.2199121983562102,0.1929208644006207,0.0991114123352016,0.2729687312678944,0.1885190490947209,1.0
0.132,-18.799512921571598,-8.483450917484783,27.28296383905638,-0.2966610318231716,-0.2070350882897247,0.1920258340857354,0.1005046427021371,0.2591935686851724,0.1750141514009173,1.0
0.134,-18.078299774070494,-7.75336435312247,25.83166412719297,-0.2846330390449335,-0.1970500950622217,0.1877660071996647,0.0991525074239973,0.2479918935961948,0.1643222743876372,1.0
0.136,-17.375097218363578,-7.201113871727318,24.576211090090897,-0.2746119840426274,-0.189290628620932,0.1810038566082051,0.0957369651686811,0.2387273891032392,0.1558358683628502,1.0
0.138,-16.683876906613285,-6.753850967961207,23.43772787457449,-0.2656429562995989,-0.1827688707105538,0.1728753669276438,0.0911780431783289,0.2304485963131449,0.1485924209585656,1.0
