time,LM_GRF_x,LM_GRF_y,LM_GRF_z,LM_CTr_pos,LM_CTr_acc,LM_TrF_pos,LM_TrF_acc,LM_FTi_pos,LM_FTi_acc
0.0,0.0,0.0,0.0,-0.48323650594457657,-0.47738315468956455,-0.05983554325895596,-0.09271028993188603,0.3611528532526946,0.38006627098849893
0.002,0.0,0.0,0.0,-0.4794154151130825,-0.4754952109079321,-0.025717026664370063,-0.07043090488480187,0.3608627557381128,0.3935181109444767
0.004,0.0,0.0,0.0,-0.4677078314360695,-0.4665177938851525,0.008678577410409852,-0.047381168673878885,0.3542817606786888,0.4013212747776841
0.006,0.0,0.0,0.0,-0.44922357002259966,-0.45139416031442053,0.04266996617379966,-0.024124022888739223,0.34202386310346833,0.40374274419073225
0.008,0.0,0.0,0.0,-0.4251687955869043,-0.4311509207934435,0.075623178203136,-0.0012076381605377537,0.3248097185371303,0.4011213962142478
0.01,0.0,0.0,0.0,-0.39682884327829626,-0.4068912161990917,0.10696177667534623,0.020850616952225804,0.3034863992692103,0.3939077992110183
0.012,0.0,0.0,0.0,-0.3655407472589133,-0.379772143596598,0.13616766100764888,0.04157831602519533,0.27902346827797486,0.3826787136841249
0.014,0.0,0.0,0.0,-0.3326579827764498,-0.350970030518948,0.16277422429290334,0.06055864998814034,0.25249002235140927,0.36812928014390556
0.016,0.0,0.0,0.0,-0.29950939616619,-0.32163709188486717,0.18635610989379486,0.07743704790433559,0.2250169304815195,0.3510447500461741
0.018000000000000002,0.0,0.0,0.0,-0.267353493601864,-0.2928580788574463,0.2065217823672169,0.09192438195551333,0.19774750693716475,0.33226849440393164
0.02,0.0,0.0,0.0,-0.2373285834082022,-0.2656049779619679,0.2229157536700505,0.10379902111750497,0.1717789118311157,0.3126563799327717
0.022,0.0,0.0,0.0,-0.2103992835408004,-0.24069273916725845,0.23523603938604004,0.11291036208002479,0.1480963551223785,0.2930218284870644
0.024,0.0,0.0,0.0,-0.18730104914743334,-0.21873973824405993,0.24326894634501486,0.11918594912515716,0.12750315246169155,0.2740809150597609
0.026000000000000002,0.0,0.0,0.0,-0.16848658151809678,-0.20013414391061657,0.2469378805656366,0.12264307001024054,0.11055176821691828,0.2564013921782332
0.028,-19.356371530441947,-5.921496111692551,25.2778676421345,-0.15408040535802348,-0.1850072337659421,0.24635694125322222,0.12340405256313683,0.09748336190505208,0.24035926128999338
0.03,-18.68276917563748,-5.127513844266621,23.810283019904098,-0.14384900675278062,-0.1732146892881963,0.24187636180953873,0.12171310678544114,0.08818453982462092,0.2261060832926748
0.032,-17.981858356470383,-4.570958510229058,22.55281686669944,-0.1371921833615573,-0.16432652950337892,0.23410824765538377,0.11795204182555426,0.08216841994981139,0.21354917710707882
0.034,-17.261301196706988,-4.195262005195204,21.456563201902192,-0.13315627404047084,-0.15762525617974885,0.2239282722031031,0.11265280801015924,0.0785820239137297,0.20234483174731177
0.036000000000000004,-16.53279818411206,-3.92471825885425,20.45751644296631,-0.1304630583817315,-0.1521099011470378,0.2124591213641434,0.10650636856869447,0.07623423344518002,0.19190155695564146
0.038,-15.805028826930638,-3.679249228359065,19.484278055289703,-0.12783797563524862,-0.14705519584622884,0.20079708099379398,0.10058072062464996,0.07391465941443448,0.18216893063420656
0.04,-15.079642069518124,-3.441343175374805,18.52098524489293,-0.12500860112142342,-0.1419216903939721,0.1891724098569938,0.09462774409375943,0.0713617489000886,0.17235631287686395
0.042,-14.66894966355915,-3.307982923479868,17.97693258703902,-0.12329032854330653,-0.1389676157317636,0.18260377520296428,0.09123779517620235,0.06978275411202257,0.16674969901429632
0.044,-14.260383082709492,-3.1802849507338884,17.44066803344338,-0.12154517211868929,-0.1360028216986615,0.1760389493884433,0.08784366782788561,0.06817257788763449,0.16113203302336893
0.046,-13.852043539858055,-3.0533732618954637,16.905416801753518,-0.1197126431929458,-0.13300318971015515,0.1694865023023248,0.08443596057959983,0.06646106199519965,0.15547844761527208
0.048,-13.445083283161075,-2.930028848492513,16.375112131653587,-0.11782663086565436,-0.12998188137377908,0.16294049781926945,0.08101932241385859,0.06468707439304981,0.1498023427576452
0.05,-13.039368247269774,-2.809749774901163,15.849118022170938,-0.11588044971162142,-0.12693618714604962,0.15640174126466017,0.07759263696597994,0.06284280611747058,0.14410090351929694
0.052000000000000005,-12.634237913584695,-2.6909567831351002,15.325194696719795,-0.11385439982948695,-0.12385759550309289,0.1498708741948143,0.07415165094675621,0.06090462644351988,0.13836503162601133
0.054,-12.231437501776682,-2.577477952621398,14.808915454398079,-0.11179507131064358,-0.12076529660379158,0.14334329441028673,0.07070470635613883,0.058927317020247796,0.13261481279316867
0.056,-11.82838179607618,-2.463422611091219,14.291804407167398,-0.10962963307109708,-0.11762858691485545,0.13682384175542328,0.06723742716927161,0.05682446455257616,0.12681776921992155
0.058,-11.428059398281523,-2.355288571101271,13.783347969382794,-0.10743772147863234,-0.11448066456011745,0.13030596540822487,0.06376481435607134,0.05469015392146494,0.12100883941572457
0.06,-11.028089676803258,-2.247749726413859,13.275839403217118,-0.10515321624108746,-0.11129336957861415,0.1237930747506444,0.060273242210556244,0.05244565524891881,0.1151580977497128
0.062,-10.630278968843694,-2.14458617523215,12.774865144075843,-0.10282249915382273,-0.10808611376244964,0.11728159316167869,0.05677157608532832,0.050145867012014796,0.10928600887416749
0.064,-10.233976525221324,-2.044228360516709,12.278204885738033,-0.1004257651383867,-0.10485034246819756,0.1107721245278767,0.05325548998908194,0.047767093683170864,0.10338342398500261
0.066,-9.838974504645718,-1.9461851360605094,11.785159640706226,-0.09795648050623959,-0.1015827430490139,0.10426312626550455,0.04972252412727075,0.04530108573165531,0.09744656478088001
0.068,-9.446697791495986,-1.853112573111993,11.299810364607978,-0.09544762281043181,-0.0982977828344129,0.09775438456936669,0.04618035112060593,0.04278749525868244,0.09149101049587124
0.07,-9.054823270193378,-1.7603231935464738,10.815146463739852,-0.09283983436614585,-0.09496874906595726,0.09124383956980323,0.04261369532142395,0.04015440724318413,0.08548767380221839
0.07200000000000001,-8.666402860397085,-1.6735813817081393,10.339984242105224,-0.09020565227949456,-0.0916278667698273,0.08473247728803002,0.03904030437724067,0.0374893722752052,0.07947144861072777
0.074,-8.175874179644307,-1.4152959028280578,9.960950905642083,-0.0874724486235816,-0.08824219406999477,0.07821678869310941,0.03544088263806491,0.03470423270614708,0.07340634209409809
0.076,-7.679730155280103,-1.1480735113241236,9.596570180846598,-0.08469956197136556,-0.08483829926657577,0.07169832416278124,0.031830393489801934,0.03187078071032912,0.06732122041431617
0.078,-7.1839919983183576,-0.8815996368717752,9.236172907782437,-0.08185392315926077,-0.08140099727324851,0.06517477041753969,0.028199614091545984,0.02894875593211832,0.061199404268755586
0.08,-6.689034096271673,-0.6164812523403673,8.88058272759862,-0.07894195676705495,-0.0779327812161968,0.05864477876469415,0.02454923248826792,0.025945710556312576,0.0550434175150657
0.082,-6.196031553301908,-0.3545513423074066,8.532135099518804,-0.07598356106877836,-0.07444292531453792,0.05211028057652566,0.02088512934147428,0.02288595076219029,0.048863511335685166
0.084,-5.702620968492327,-0.09165846074093031,8.18569386560916,-0.0729319472231914,-0.07090897765173193,0.04556412388354227,0.017191865834361462,0.019711989751168894,0.04263456836007806
0.08600000000000001,-5.212445416535669,0.166221477484644,7.8487891585482625,-0.06985366692159313,-0.06736237048344183,0.03901443841048713,0.013490140526558352,0.01650533914999697,0.036391524639661145
0.088,-4.681447586281735,0.46134125826897865,7.495570230346258,-0.06650851418907369,-0.06358973540242295,0.03184564645619399,0.009385700581674275,0.012756263052641596,0.029458585081629983
0.09,-4.124386676216186,0.8034322451338194,7.138796893723407,-0.06299255669815472,-0.05977540245406317,0.024236154716561258,0.004932731009121995,0.00834194678313654,0.021919483383752308
0.092,-3.5456505952716513,1.1851127198480376,6.782366867043818,-0.05930697866842419,-0.055909036722309846,0.01622640610910729,0.00016333563608862545,0.0033259270539537592,0.013832950251380462
0.094,-2.6399467847186906,1.5474309521029568,6.66451032518694,-0.05545296431947011,-0.05198030329111035,0.007856843551350483,-0.004890381710238718,-0.0022282594224347823,0.005257716389866772
0.096,-1.519153984755547,1.9050184947824613,6.700200819952828,-0.05143169787088048,-0.04797886724441203,-0.0008320900391907938,-0.010196317202672927,-0.008257075933557123,-0.0037474874954364222
0.098,-0.36959205685799046,2.282804476687637,6.751631075879613,-0.047244363542243276,-0.04389439366616222,-0.009799951744998175,-0.0157223670140269,-0.014696985766941315,-0.013123930699176794
0.1,0.8023492635445131,2.675137889220012,6.818149458793913,-0.0428921455531465,-0.039716547640308304,-0.019006298648553268,-0.021436427317113503,-0.02148445221011538,-0.022812882516001998
0.10200000000000001,3.188749963787509,3.4820280125648635,6.991273739880333,-0.033697795471926244,-0.031039398581577546,-0.037972676378833094,-0.0333001640897362,-0.03584790807594532,-0.04289338916749757
0.10400000000000001,3.986222277205139,3.561246955248173,7.547469232453312,-0.028858031818978735,-0.026519425716595414,-0.047651821370521076,-0.03938563290489806,-0.04329682407365726,-0.05316748259146327
0.106,4.641087900490782,3.5723063325659252,8.213394233056707,-0.02385812138392364,-0.02186474073979858,-0.05740767988988329,-0.045530696903044135,-0.05083914983127126,-0.06351916180710447
0.108,5.290262181024063,3.5799072391850033,8.870169420209066,-0.018699248386348934,-0.017065008735134404,-0.06719980901940133,-0.051703252256987284,-0.058411348636315336,-0.07388969610906883
0.11,5.930548266645727,3.5816173838643524,9.51216565051008,-0.013382597045842638,-0.012109894786550252,-0.07698776584155681,-0.05787119513954039,-0.06594988377631754,-0.08422035479200403
0.112,6.558878032926999,3.574949205955288,10.133827238882287,-0.007909351581992734,-0.006989063977993467,-0.08673110743883139,-0.06400242172351638,-0.0733912185388059,-0.09445240715055771
0.114,7.172335857340393,3.5573557585696696,10.729691615910063,-0.0022806962143872202,-0.0016921813934114086,-0.09638939089370666,-0.0700648281817281,-0.08067181621130844,-0.10452712247937755
0.116,7.768196029098883,3.526253429409228,11.294449458508112,0.0035021848373859156,0.0037910878832485605,-0.10592217328866428,-0.07602631068698848,-0.08772814008135327,-0.1143857700731112
0.11800000000000001,8.343951071871638,3.4789555955079807,11.82290666737962,0.009438107353738671,0.009471078768039098,-0.11528901170618583,-0.08185476541211037,-0.09449665343646832,-0.12396961922640634
0.12,7.806844506367656,3.534160928152109,11.341005434519765,0.003760061539890969,0.004010493032769809,-0.10653364766412715,-0.07642303916163806,-0.0882600814203917,-0.11506646136351967
0.122,8.343951071871638,3.478955595507981,11.82290666737962,0.009438107353738658,0.0094710787680391,-0.11528901170618581,-0.08185476541211037,-0.09449665343646832,-0.12396961922640634
0.124,8.876637509561398,3.4276682100674334,12.304305719628832,0.015231292359950483,0.014997235266893238,-0.12411912386977882,-0.08736119764259667,-0.1008737536506519,-0.13295167910065764
0.126,9.404459451929428,3.3804619612201705,12.784921413149599,0.021141536940122746,0.02059062622242526,-0.1330290788138974,-0.09294601258101098,-0.10739336613135618,-0.1420148038165503
0.128,9.926928090597096,3.3375091838470707,13.264437274444166,0.027170893270823813,0.026253003578894974,-0.14202427896117076,-0.09861311172908727,-0.11405758959421203,-0.15116126129780388
0.13,10.44350577058255,3.298991657648118,13.742497428230669,0.03332155661134138,0.031986215204122606,-0.15111046538641768,-0.10436664337543282,-0.1208686468601771,-0.16039343340329576
0.132,10.953602396169424,3.265100776691161,14.218703172860586,0.03959588577792035,0.037792218733591385,-0.160293772957835,-0.11021104199132221,-0.12782890198628877,-0.1697138319047134
0.134,11.45656804717181,3.236038086955075,14.692606134126885,0.04599640449029058,0.0436730825202178,-0.16958074006375762,-0.11615103455006714,-0.13494086069199973,-0.17912509911661725
