time,LH_GRF_z,LH_CTr_theta,LH_CTr_vel,LH_TrF_theta,LH_TrF_vel,LH_FTi_theta,LH_FTi_vel,LH_Tip_linear_acc_z,RH_GRF_z,RH_CTr_theta,RH_CTr_vel,RH_TrF_theta,RH_TrF_vel,RH_FTi_theta,RH_FTi_vel,RH_Tip_linear_acc_z,LM_GRF_z,LM_CTr_theta,LM_CTr_vel,LM_TrF_theta,LM_TrF_vel,LM_FTi_theta,LM_FTi_vel,LM_Tip_linear_acc_z,RM_GRF_z,RM_CTr_theta,RM_CTr_vel,RM_TrF_theta,RM_TrF_vel,RM_FTi_theta,RM_FTi_vel,RM_Tip_linear_acc_z,LF_GRF_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel,LF_Tip_linear_acc_z,RF_GRF_z,RF_ThC1_theta,RF_ThC1_vel,RF_ThC3_theta,RF_ThC3_vel,RF_CTr_theta,RF_CTr_vel,RF_TrF_theta,RF_TrF_vel,RF_FTi_theta,RF_FTi_vel,RF_Tip_linear_acc_z
0.0,6.050231290784746,-0.032506070877441,1.8227564366074616,-0.026416979522467274,-1.2861516849885206,-0.03303850203788737,-2.0425073968559158,31.23107398181582,0.0,-0.4966224412368789,-2.10015619998945,0.18824059622344544,-2.720157466456763,0.42126600882462445,1.9136574337233925,-60.90598007968819,0.0,-0.4732630312954507,-0.4399612240270079,-0.08155880891850284,3.00067030245746,0.3399989559857752,0.541960038433742,-152.3112104793174,7.797162968428076,-0.03510603432977822,0.9816598538948159,0.04327734527057542,1.7122440416055682,-0.04636913152722323,-1.0701908711818344,32.58489321780375,22.17204712235866,0.22283397236981342,-0.5915682394288246,-0.5163491592607048,1.118427184642512,0.8151770067615733,-0.8912876525291491,-0.24399687379051438,3.627547365794431,0.17143821972205484,1.030476127516139,-531.2700271389656,0.0,-0.40038707119697736,-0.3192287311890085,0.6218424723080672,0.37298484442224167,0.3181088297683011,3.224448339729352,0.40280064806269894,-2.280917265092058,0.7135574451629237,-3.3085129647323575,-856.8109316238879
0.01,6.202235896332946,-0.023065986669814697,0.9440084207626303,-0.0330593816800289,-0.6642402157561625,-0.04368726804443428,-1.0648766006546906,35.06934186247332,0.0,-0.5093273417179405,-1.2704900481061598,0.15787258514562078,-3.036801107782466,0.43341014050779225,1.2144131683167803,-86.94611868335897,0.0,-0.46916008901237577,0.41029422830749507,-0.05039728553427295,3.1161523384229888,0.338905133256783,-0.10938227289921665,-158.07390155713816,8.28262236502591,-0.02995501983626005,0.515101449351817,0.05204886314775939,0.8771517877183971,-0.052001278578052715,-0.5632147050829484,34.9438340939248,22.137577473447678,0.21980025275077567,-0.3033719619037756,-0.5107413783336064,0.5607780927098349,0.8107930847989602,-0.43839219626131687,-0.24702453651574682,-0.3027662725232444,0.17743401418045965,0.5995794458404813,-539.4907655861243,0.0,-0.39990920099365906,0.0477870203318298,0.6236913063865006,0.18488340784333923,0.3595425223423198,4.143369257401869,0.378048186906203,-2.475246115649593,0.6708490243436473,-4.270842081927639,-839.0246722384144
0.02,6.360103389818633,-0.013424858159561466,0.9641128510253231,-0.03983543652788195,-0.6776054847853048,-0.05461077112470184,-1.0923503080267565,42.34209888620301,0.0,-0.5141982633541674,-0.48709216362269325,0.12530921262631933,-3.256337251930144,0.43883830475415225,0.5428164246360001,-111.68282713536033,0.0,-0.45754684627157216,1.1613242740803609,-0.018729503907318576,3.1667781626954374,0.3318186594377254,-0.7086473819057582,-161.12724640701902,8.794888873690205,-0.02465156752138601,0.530345231487404,0.06094457468478231,0.889571153702292,-0.057810973487556185,-0.580969490950347,38.91948045268333,22.11101341028519,0.2167261258345002,-0.3074126916275455,-0.5052788594861093,0.5462518847497155,0.8065094828114954,-0.42836019874648024,-0.25005365511843247,-0.30291186026856487,0.1832911925466153,0.5857178366155652,-544.4112700910763,0.0,-0.3964192537208435,0.3489947272815541,0.6240163837977253,0.03250774112246724,0.40787143828221395,4.832891593989413,0.3526015718705375,-2.544661503566553,0.6196877625958288,-5.116126174781854,-814.1989589203904
0.03,6.704459545715332,-0.0035950531320056416,0.9829805027555825,-0.046739561717435485,-0.6904125189553536,-0.06579694957284692,-1.1186178448145074,49.67976704417462,0.0,-0.511846360668874,0.23519026852933944,0.09150961150485973,-3.3799601121459606,0.43789627326540703,-0.09420314887452208,-134.44457644536985,0.0,-0.43950155543706404,1.804529083450812,0.012825925667750898,3.155542957506947,0.319318295171962,-1.2500364265763453,-161.21805580630024,9.31107778459667,-0.019202706631161234,0.5448860890224776,0.06995247629194537,0.9007901607163061,-0.06379078080227893,-0.5979807314722745,42.96324950803214,22.09435047292001,0.21361922535900557,-0.31069004754946394,-0.5000783717798573,0.5200487706252033,0.8023651826305235,-0.4144300180971894,-0.25308336791617725,-0.3029712797744777,0.1890111317887028,0.5719939242087496,-549.3411751225381,0.0,-0.39060459409640574,0.5814659624437779,0.623131803396419,-0.08845804013062342,0.4610920467324584,5.3220608450244455,0.3274874553155294,-2.511411655500806,0.5613050941539913,-5.838266844183748,-781.21621321834
0.04,7.208261838785344,0.006411060627528402,1.0006113759534043,-0.05376617490009855,-0.7026613182663066,-0.07723374168302632,-1.1436792110179408,57.05820855590082,0.0,-0.5030480012782473,0.8798359390626675,0.05739203796879061,-3.411757353606912,0.4310690313779348,-0.6827241887472246,-154.663932220842,0.0,-0.4161854303754265,2.3316125061637547,0.04369472567719932,3.0868800009448423,0.30208531778783415,-1.7232977384127823,-158.20915188166458,9.830062851213206,-0.013615466411590877,0.5587240219570356,0.07906056437954967,0.9108088087604299,-0.06993326506876625,-0.6142484266487321,47.06357442660667,22.089374916022525,0.21048718506231026,-0.313204029669531,-0.49525668427649416,0.48216875033630924,0.7983991660873894,-0.396601654313411,-0.2561128176050406,-0.30294496888633726,0.19459518825075203,0.5584056462049236,-554.3081873740327,0.0,-0.38314451816583345,0.7460075930572296,0.6212986930010221,-0.18331103953969086,0.5174779687410844,5.638592200862602,0.30351374103356776,-2.3973714281961653,0.49704263899462503,-6.426245515936629,-740.0210662135997
0.05,7.710394775020269,0.01658111533371638,1.0170054706187979,-0.06090969372728022,-0.7143518827181672,-0.08890908574939686,-1.1675344066370539,64.47065042399365,0.0,-0.488738091801085,1.430990947716232,0.023808635448748887,-3.3583402520041723,0.4190148110055324,-1.205422037240239,-171.90502307233774,0.0,-0.38882760919878995,2.7357821176636543,0.07335332878133204,2.9658603104132713,0.28092298442938457,-2.116233335844958,-152.1426880429611,10.3506816859005,-0.007896876108680078,0.57185903029108,0.08825683535789637,0.9196270978346701,-0.0762309908335635,-0.6297725764797243,51.20930400943783,22.09764103639138,0.20733763868243277,-0.31495463798774936,-0.49093056603766394,0.43261182388302233,0.7946504150134378,-0.37487510739515617,-0.25914116049968106,-0.30283428946404345,0.20004465418411888,0.5449465933366843,-559.3387215525172,0.0,-0.37467691564720007,0.8467602518633377,0.6187230214379391,-0.2575671563083026,0.5755286320771136,5.805066333602915,0.28128683535268173,-2.2226905680886033,0.428379216221645,-6.8663422772980045,-691.5194899489577
0.06,8.20908561545082,0.026902743201233956,1.0321627867517575,-0.06816453585038955,-0.7254842123109325,-0.10081092006611539,-1.1901834316718527,71.89880906548848,0.0,-0.46998539693488195,1.8752694866203068,-0.008472435159146856,-3.2281070607895743,0.4025677035387035,-1.644710746682887,-185.8854253988772,0.0,-0.35870088856527976,3.0126720633510184,0.10132729368148632,2.7973964900154287,0.25675461140198474,-2.4168373027399825,-143.27508937820096,10.871736287361248,-0.0020539649684339807,0.5842911140246096,0.09752928563728669,0.9272450279390317,-0.08267652264321596,-0.644553180965246,55.38992129478343,22.120454875023686,0.20417821995739166,-0.31594187250411077,-0.48721678612501024,0.3713779912653703,0.7911579112400137,-0.3492503773424138,-0.26216756285969733,-0.3026402360016278,0.20536077569105363,0.5316121506934751,-564.4580527862041,0.0,-0.36577070473450435,0.8906210912695722,0.6155600453513983,-0.3162976086540814,0.6338997441679561,5.837111209084256,0.26123612837059307,-2.005070698208866,0.3569455236155868,-7.1433692606058194,-637.3935136686
0.07,8.702463523784786,0.03736357644475678,1.0460833243522827,-0.07552511892083559,-0.7360583070446042,-0.11292718292733873,-1.2116262861223346,79.32478809528631,0.0,-0.44795475283019665,2.20306441046853,-0.038775326943916125,-3.030289178476927,0.3827145463300594,-1.9853157208644112,-196.49082292918655,0.0,-0.3270906629114676,3.161022565381216,0.12718368764912044,2.5856393967634115,0.23060395895522084,-2.61506524467639,-132.07928091057423,11.391993929459094,0.0039062377631422862,0.5960202731576267,0.10686591162802168,0.9336625990734995,-0.08926242504426896,-0.6585902401053001,59.59570708160119,22.158859700883927,0.20101656262520542,-0.3161657332186235,-0.48423211360017715,0.29846725248330874,0.7879606365984615,-0.31972746415521724,-0.2651911999790689,-0.30236371193715916,0.21054475743827805,0.5183981747224425,-569.6906739417748,0.0,-0.35690453067840616,0.8866174056098186,0.6119252442336757,-0.363480111772263,0.6913312253650828,5.743148119712671,0.243639750965263,-1.759637740533007,0.2845318945125791,-7.2413629103007695,-579.8863484861083
0.08,9.188557250466118,0.04795124727896057,1.058767083420379,-0.08298586059002741,-0.7460741669191819,-0.12524581262722373,-1.2318629699884995,86.7311923831507,0.0,-0.4238601651410932,2.409458768910344,-0.06651625790684014,-2.7740930962924013,0.3605521894753697,-2.21623568546897,-203.77876773408843,0.0,-0.29525867042369014,3.183199248777746,0.1505214463135716,2.3337758664451145,0.20356104017784835,-2.70429187773725,-119.21425705490628,11.910188446665792,0.00997670284004357,0.6070465076901284,0.11625470974040258,0.93887981123809,-0.0959812625832678,-0.6718837538998851,63.81783563109766,22.2136248801713,0.1978603004238926,-0.31562622013128205,-0.4820933175248084,0.21387960753687651,0.7850975729201265,-0.28630636783349983,-0.2682112569970306,-0.30200570179616526,0.2155977594366014,0.5053001998323342,-575.0607619230843,0.0,-0.3484517362064074,0.8452794471998759,0.6079117705991962,-0.40134736344794586,0.746584811356892,5.525358599180918,0.22864717358590236,-1.4992577379360632,0.21308858496187494,-7.144330955070416,-521.5882735771852
0.09,8.725977766141579,0.03789577841310422,-1.005546886585635,-0.07589406485908752,0.7091795730939889,-0.11351978632943349,1.1726026297790237,73.04485327241338,0.0,-0.39891165027704967,2.4948514864043534,-0.09119890970218719,-2.468265179534705,0.3372307147889074,-2.3321474686462285,-208.02414440391678,0.0,-0.26440214458166045,3.085652584202969,0.17096529251229955,2.0443846198727966,0.17673563767945383,-2.6825402498394517,-105.57264945908739,11.420493210424636,0.004193630404012709,-0.578307243603086,0.10736665359580046,-0.8888056144602127,-0.08957525966108575,0.640600292218206,56.19541339578282,22.71344075243764,0.2008362638106216,0.2975963386729008,-0.483677089308781,-0.15837717839726206,0.7876314836034635,0.25339106833369707,-0.2712269282335428,-0.3015671236512196,0.22052090087749113,0.49231414408897334,-581.1249906016287,0.0,-0.3406719143525958,0.7779821853811597,0.6036134823837445,-0.4298288215451751,0.7984024457721458,5.181763441525377,0.21629672757379412,-1.2350446012108245,0.14471080376345213,-6.83777811984228,-464.97474856739194
