time,LF_Torque_Troch_CS_x,LF_Torque_Troch_CS_y,LF_Torque_Troch_CS_z,LF_Torque_Tibia_CS_x,LF_Torque_Tibia_CS_y,LF_Torque_Tibia_CS_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
0.0,-0.04260712487254792,0.16527917658950286,0.12619262363718667,-0.017352286996851807,0.0624700624052057,-0.05032848572565509,0.10365487812851182,-3.374986749323894,0.8767549416527706,1.7054837048465554,0.9041885742894167,-2.9180664234935816,-0.2112887449649575,5.343721456122405,0.2921742537935457,7.736879304439936
0.01,-0.03281066241090362,0.0886192229115987,0.21994678271486723,-0.005697224591122049,0.021139966203573085,0.040172075848458264,0.08675232580372363,-1.6902552324788183,0.8851420315454319,0.8387089892661348,0.8897129719436165,-1.4475602345800143,-0.2121375687795593,-0.08488238146018012,0.27908489030237715,-1.308936349116857
0.02,-0.03386818722249669,0.09089384267763304,0.21969497525928136,-0.0056617349636758334,0.021140713307927498,0.040378216393760345,0.07028911332938569,-1.646321247433795,0.89317773332536,0.8035701779928073,0.8755361523898354,-1.417681955378114,-0.2130451414085356,-0.09075726289762831,0.26618878080473135,-1.2896109497645802
0.03,-0.03492505441757942,0.09320515222339644,0.21900250142468927,-0.005630634645594622,0.02116397876918618,0.04048146522127497,0.05460855488242006,-1.568055844696563,0.9006686702237904,0.7490936898430389,0.8618248378362532,-1.371131455358221,-0.21400836327878614,-0.09632218702505524,0.25348234455033264,-1.2706436254398712
0.04,-0.03594005159905436,0.0954242188629561,0.2178448756059979,-0.00559546705147654,0.02117613054371752,0.04046968502226209,0.04005396463974889,-1.4554590242671166,0.9074214654719589,0.6752795248168519,0.8487457504910499,-1.3079087345203244,-0.215024218722891,-0.10158554441048462,0.24096210692783954,-1.2520237622493102
0.05,-0.0368764990303232,0.09742610329848325,0.21620362359093004,-0.0055475227958158724,0.021142874744802656,0.040330760328623164,0.026968656778294298,-1.3085307861454591,0.9132427423011014,0.5821276829142463,0.8364656125624064,-1.2280137928643575,-0.21608995188368954,-0.10657331607985543,0.22862492126310452,-1.2337185664735018
0.06,-0.03770323480437948,0.09909853652378033,0.2140675505090251,-0.005478847436976502,0.021033031564876292,0.04005299871469983,0.015695945474978212,-1.1272711303316085,0.9179391239424531,0.46963816413517767,0.8251511462585024,-1.131446630390398,-0.21720298300427787,-0.11130311205883314,0.2164678547521883,-1.215706651091622
0.07,-0.03839506527667267,0.100343605922872,0.2114319212034735,-0.005382299811069431,0.02081878492272977,0.03962526950241605,0.006579144906722845,-0.9116800568255368,0.92131723362725,0.3378109684796904,0.8149690737875179,-1.018207247098446,-0.2183608843164155,-0.1157901312137638,0.20448815487890834,-1.1979699873279959
0.08,-0.03640120941895732,0.09373074490669679,0.20784622681798204,-0.004782050563534559,0.01868454773744497,0.0392666794012511,-3.843074954978931e-05,-0.6617575656272634,0.9231836945867282,0.18664609594781778,0.8060861173576336,-0.8882956429884348,-0.21956138719632487,-0.12005028799093598,0.19268325518529378,-1.1804899693614561
0.09,-0.03500863898211008,0.12693202172212054,0.26934456383473643,-0.00793764511127625,0.03300745270619908,0.046762763670140914,0.004923231883906988,0.4961662633456777,0.9221956378947143,-0.0988056692013961,0.8138096181231335,0.772350076549988,-0.22080236143106394,-0.12409742347390673,0.1810507469948165,-1.1632508190477286
0.1,-0.025458828282140883,0.040391902372000854,0.16016123762328524,0.0021107010462917738,-0.0017113546553634371,0.05470985350629357,-3.843074954984428e-05,-0.49616626334568315,0.9231836945867281,0.098805669201385,0.8060861173576336,-0.772350076549988,-0.22208179751964877,-0.12794360885848288,0.1695883572414776,-1.146238975333888
0.11,-0.023942162625592917,0.01990179213591483,0.15785098801884093,0.006925335430264761,-0.012514628937480683,0.05869583753009953,-0.004884703228029178,-0.4846272478479334,0.9240703284391552,0.08866338524270434,0.7985886706041765,-0.7497446753457093,-0.22339780342354162,-0.13160059038928584,0.15829394317169213,-1.1294414069785486
0.12,-0.022743605451988343,0.0002901335326301775,0.15569176574825708,0.011555803383143933,-0.02290114620149871,0.06271359271358792,-0.009620942364808224,-0.47362391367790463,0.9248603167223195,0.07899882831643446,0.7913114578857195,-0.7277212718456938,-0.22474859600418295,-0.135079258064133,0.14716548119990414,-1.1128461971787988
0.13,-0.02183656326816775,-0.018495636659320615,0.15367729348597145,0.016013542906653952,-0.032896691870893335,0.06676310630837198,-0.014252270599084271,-0.4631328234276047,0.9255581088707678,0.06977921484483396,0.784248902706431,-0.7062555179288554,-0.22613248557497773,-0.13838895707947718,0.13620104921069945,-1.0964431989204686
0.14,-0.02119642528590133,-0.03650583251009793,0.15180196151632924,0.020309416897193334,-0.042525778077525375,0.07084442549301918,-0.01878358249888438,-0.45313118998001073,0.926167843703706,0.06097348329381358,0.7773956655727975,-0.6853237133633505,-0.22754787150879796,-0.14153859338202346,0.12539882127435473,-1.0802227936344722
0.15,-0.020800390178909296,-0.053788958183576374,0.1500607396849334,0.0244538213123971,-0.05181188618548104,0.07495768044741857,-0.023219547545612854,-0.4435965046728475,0.9266933633867472,0.05255196830412645,0.7707466414949297,-0.6649024077867827,-0.22899323881537287,-0.14453673065749073,0.11475706359161177,-1.064175768274296
0.16,-0.02062783460127488,-0.0703865836445392,0.1484492373999779,0.02845562115871691,-0.060775023563238065,0.0791024930754433,-0.027564638070304376,-0.4345090524691522,0.9271382580961044,0.04448947093571576,0.7642969312354199,-0.64497102595098,-0.2304671456265272,-0.14739068111543352,0.10427412104527144,-1.0482942546340328
0.17,-0.020659689465991116,-0.08633770900555222,0.14696351599731505,0.03232307254731843,-0.0694338336975168,0.08327841572402299,-0.0318231385475116,-0.4258500477207223,0.9275058836609665,0.03676255648621396,0.7580418318879096,-0.6255099347510229,-0.2319682183260953,-0.150107269956809,0.09394841210067598,-1.032570894459546
0.18,-0.020878157254831997,-0.10168074808628064,0.14559998960787718,0.03606425029179508,-0.07780657250989918,0.08748513512299765,-0.035999143878823255,-0.4176005331311655,0.9277993667062846,0.02934830453180659,0.751976839046694,-0.6064992841215644,-0.23349515032151089,-0.15269319954155924,0.08377842784614283,-1.016998425453315
