time,LF_Torque_Troch_CS_x,LF_Torque_Troch_CS_y,LF_Torque_Troch_CS_z,LF_Torque_Tibia_CS_x,LF_Torque_Tibia_CS_y,LF_Torque_Tibia_CS_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
0.0,-0.1428113220208752,0.4715549805302464,-0.2213703396203178,-0.10319041142664107,0.2029114580391379,-0.4184369656815503,-0.01714819180082451,-15.455293742257526,0.9397148843677787,8.00147797634737,0.888912571112862,-4.445666741149045,-0.2112887449649575,5.343721456122405,0.2921742537935457,7.736879304439936
0.01,-0.03685802590691802,0.139474752093019,0.18149274853249725,-0.01105409485047501,0.0443582432368529,-0.012470663861675096,0.006212228554730109,2.336042035555462,0.9299300008935913,-0.9784883474187378,0.9047551132428444,1.5842542129982373,-0.21050217659881995,0.07865683661375522,0.3054610497083511,1.328679591480536
0.02,-0.0380919303700635,0.14075635770580935,0.18214124716304178,-0.011053262601040056,0.044404315942311604,-0.01179177057424288,0.028983027811936457,2.277079925720635,0.9202428553442396,-0.9687145549351794,0.9207309097957733,1.5975796552928911,-0.2097814549505142,0.07207216483057499,0.3189494562740611,1.3488406565710043
0.03,-0.039233031654776165,0.1417149897867349,0.18340094815469518,-0.011033473003609837,0.04437053969669294,-0.010925026238568948,0.050763194763769184,2.1780166951832727,0.9108212796914168,-0.9421575652822756,0.9367413886016004,1.6010478805827066,-0.2091306791384351,0.06507758120790907,0.33264442702346564,1.3694970749404511
0.04,-0.041166679480871216,0.14493501899115047,0.18001292693945273,-0.011598954443009199,0.04540196241568931,-0.013810744548463509,0.07115171820320285,2.038852343943366,0.9018331059068161,-0.8988173784600706,0.9526879774902771,1.5946588888676727,-0.20855408953358867,0.05765896048464392,0.3465511261771733,1.390669915370768
0.05,-0.04405123258052136,0.1509702427227375,0.1714158552220851,-0.012904974526727075,0.047826763063020715,-0.0209784339433988,0.08974758692321208,1.8595868720009234,0.8934461659621308,-0.8386939944685312,0.9684721042917556,1.5784126801478449,-0.20805637258163523,0.04977169519534419,0.3606753860030125,1.4124259825839203
0.06,-0.0470458956979697,0.15732023792929117,0.1626159641240202,-0.014399751961539064,0.050581550798976374,-0.028744215536810173,0.10614978971677139,1.6402202793559306,0.8858282918290542,-0.7617874133076574,0.9839951968359875,1.5523092544231898,-0.20764261905308073,0.041375352855449465,0.37502367534211034,1.434828933909782
0.07,-0.0501410371275505,0.16383385117164417,0.15367625971869353,-0.016063711155085394,0.053596929874873446,-0.03707251081229179,0.11995731537685556,1.3807525660084168,0.8791473154792794,-0.6680976349774825,0.9991586829529242,1.5163486116936742,-0.20731834430434248,0.032427474873825135,0.38960315513140553,1.457947978929519
0.08,-0.05332849246930904,0.1703376515804246,0.1446460790792492,-0.017871762613540804,0.05678278590441642,-0.04592909150515825,0.13076915269643902,1.0811837319583462,0.8735710688844998,-0.5576246594779621,1.013863990472518,1.4705307519593758,-0.20708958447147816,0.02287598328643281,0.4044218608275228,1.4818705696117263
0.09,-0.09454297108035709,0.2984694511308784,-0.024379700456479362,-0.055408090968199666,0.1270788061753266,-0.12534938314493077,0.12209884787983609,-0.8670304816602927,0.8782630100708443,0.4691941186344528,1.0002230385766622,-1.364095189585579,-0.20696296055231775,0.012662391916040683,0.4194888546266304,1.5066993799107586
