time,RM_GRF_x,RM_GRF_y,RM_GRF_z,RM_CTr_theta,RM_CTr_vel,RM_TrF_theta,RM_TrF_vel,RM_FTi_theta,RM_FTi_vel
0.0,3.1933306894431994,-3.490771126046603,7.003714932878989,-0.033780466927741525,0.0,0.038030840236751726,0.0,-0.03592250187133593,0.0
0.002,3.991816362584511,-3.5692394893607577,7.561055851945269,-0.02894060181724956,2.4199325552459823,0.04771658737683919,4.842873570043732,-0.04337373933997421,-3.72561873431914
0.004,4.647068946194364,-3.580418019370697,8.22748696556506,-0.023940465790914293,2.500068013167633,0.05747912451593845,4.881268569549631,-0.0509184328575761,-3.772346758800945
0.006,5.29660671566267,-3.588143812512282,8.884750528174951,-0.018781206416980247,2.579629686967023,0.06727794674759893,4.89941111583024,-0.0584930409644069,-3.787304053415399
0.008,5.937227018814345,-3.589982555280563,9.527209574094908,-0.013463971263691938,2.6586175766441547,0.07707254916536999,4.897301208885526,-0.06603402220073191,-3.7704906181625084
0.01,6.565856271199308,-3.583444408686338,10.149300679885645,-0.007989907899293889,2.737031682199025,0.08682242686280102,4.874938848715517,-0.07347783510681642,-3.7219064530422536
0.012,7.179573789111487,-3.5659798989252547,10.745553688036741,-0.0023601638920306227,2.8148720036316326,0.09648707493344144,4.832324035320211,-0.08076093822292574,-3.641551558054658
0.014,7.775643684497227,-3.534975553582408,11.310619238079635,0.0034241131898533465,2.8921385409419846,0.10602598847084062,4.769456768699588,-0.08781979008932514,-3.529425933199701
0.016,8.351555988715594,-3.4877488126295786,11.839304801345172,0.009361775778113493,2.9688312941300734,0.11539866256854794,4.686337048853662,-0.09459084924627997,-3.385529578477417
0.018000000000000002,7.814313558397577,-3.5428962241739375,11.357209782571514,0.003681912560452321,-2.839931608830586,0.1066379460896355,-4.3803582394562195,-0.08835186594816202,3.119491649058975
0.02,8.351555988715592,-3.487748812629578,11.83930480134517,0.009361775778113498,2.8399316088305886,0.11539866256854794,4.3803582394562195,-0.09459084924627996,-3.1194916490589684
0.022,8.884364225980729,-3.436526230421362,12.320890456402092,0.015156833855318479,2.89752903860249,0.12423431776660541,4.417827599028735,-0.10097039070087532,-3.189770727297682
0.024,9.412292378499043,-3.389391966957612,12.801684345456655,0.021069010129169268,2.9560881369253944,0.1331500189065174,4.457850569955991,-0.10749247629725987,-3.2610427981922747
0.026000000000000002,9.934849953322622,-3.3465186712891284,13.281368624611751,0.02710035996914988,3.0156749199903055,0.14215118192826567,4.500581510874138,-0.11415920679505219,-3.3333652488961585
0.028,10.451497432716247,-3.3080884510636883,13.759585883779934,0.033253082091108374,3.0763610609792473,0.15124356248705695,4.5461902793956375,-0.12097280719945497,-3.406800202201389
0.03,10.961642664229284,-3.2742930413158167,14.235935705545101,0.03952953907837393,3.1382284936327767,0.16043331128932234,4.594874401132695,-0.12793564391555018,-3.4814183580476055
