time,LF_GRF_x,LF_GRF_y,LF_GRF_z,LF_ThC1_theta,LF_ThC1_vel,LF_ThC3_theta,LF_ThC3_vel,LF_CTr_theta,LF_CTr_vel,LF_TrF_theta,LF_TrF_vel,LF_FTi_theta,LF_FTi_vel
0.0,0.0,0.0,0.0,0.22347398571834692,0.0,-0.5172539692865519,0.0,0.8015958446570248,0.0,-0.24399687379051438,0.0,0.17143821972205484,0.0
0.002,0.0,0.0,0.0,0.22059557061986024,-1.4392075492433432,-0.5115602561063751,2.8468565900883758,0.7992703017720298,-1.16277144249749,-0.24703764437753922,-1.5203852935124218,0.17746051466786328,3.0111474729042214
0.004,0.0,0.0,0.0,0.21769592330858661,-1.4498236556368116,-0.5060221375322455,2.7690592870648345,0.7969450729765488,-1.1626143977405134,-0.25007861499991874,-1.5204853111897565,0.18334212230745578,2.9408038197962503
0.006,0.0,0.0,0.0,0.21478434276713637,-1.4557902707251213,-0.5007599971115224,2.631070210361519,0.7945882306318443,-1.1784211723522842,-0.2531190128376028,-1.5201989188420306,0.18908485177394668,2.8713647332454517
0.008,0.0,0.0,0.0,0.21187012797811988,-1.4571073945082447,-0.49589421839156544,2.432889359978485,0.7921678470991791,-1.21019176633258,-0.2561580709355242,-1.5195290489606883,0.19469048819508886,2.802818210571087
0.01,0.0,0.0,0.0,0.2089625779241474,-1.453775026986237,-0.4915451849197343,2.174516735915566,0.7896519947398165,-1.2579261796812902,-0.2591950405869066,-1.5184848256912242,0.2001607421290559,2.7351269669835254
0.012,0.0,0.0,0.0,0.20607099158782924,-1.4457931681590845,-0.4878332802433883,1.8559523381730114,0.787008745915019,-1.3216244123987475,-0.26222918648118365,-1.5170729471385147,0.20549727080006558,2.6682643355048357
0.014,0.0,0.0,0.0,0.20320466795177572,-1.4331618180267596,-0.48487888790988715,1.4771961667505717,0.7842061729860499,-1.4012864644845635,-0.2652597855131144,-1.5152995159653793,0.2107016837640813,2.60220648200786
0.016,0.0,0.0,0.0,0.2003729059985972,-1.4158809765892622,-0.4828023914665903,1.0382482216484135,0.7812123483141716,-1.4969123359391268,-0.2682861279013051,-1.5131711940953585,0.215775539388158,2.5369278120383476
0.018000000000000002,0.0,0.0,0.0,0.20302809959108642,1.3275967962446122,-0.48431106652404987,-0.754337528729776,0.7841402140098845,1.4639328478564528,-0.2713075163187735,-1.5106942087341757,0.22072034953496644,2.472405073404224
0.02,0.0,0.0,0.0,0.20037290599859717,-1.327596796244626,-0.4828023914665903,0.754337528729776,0.7812123483141716,-1.4639328478564528,-0.27432326489585745,-1.5078742885419882,0.22553758425345974,2.408617359246648
0.022,0.0,0.0,0.0,0.19771552574062387,-1.3286901289866482,-0.48128578013066536,0.7583056679624778,0.7783675277846558,-1.4224102647579229,-0.27733269951024025,-1.5047173071914,0.23022867169517336,2.3455437208568104
0.024,0.0,0.0,0.0,0.19505572740116478,-1.3298991697295452,-0.4797612515060484,0.7622643123084694,0.7756048216997612,-1.3813530424472975,-0.28033515772694717,-1.501229108353458,0.2347949996499344,2.2831639773805144
0.026000000000000002,0.0,0.0,0.0,0.19239329818925166,-1.33121460595656,-0.4782288185591325,0.7662164734579535,0.7729233285488031,-1.340746575479057,-0.28332998776831286,-1.4974150206828463,0.23923792016305426,2.2214602565599346
0.028,0.0,0.0,0.0,0.18972804392896608,-1.3326271301427883,-0.47668848855340634,0.770165002863088,0.7703221753730088,-1.3005765878971176,-0.28631654857429173,-1.493280402989433,0.2435587502626719,2.1604150498088224
0.03,0.0,0.0,0.0,0.18705978949958946,-1.3341272146883132,-0.47514026333526393,0.7741126090712036,0.7678005175732012,-1.2608288999038098,-0.28929421016333906,-1.4888307945236656,0.2477587720659052,2.100010901616642
0.032,0.0,0.0,0.0,0.18438837702222197,-1.3357062386837453,-0.4735841401998125,0.7780615677257241,0.76535753547401,-1.2214910495956244,-0.29226235269033823,-1.4840712634995867,0.25183923687129833,2.0402324026965735
0.034,0.0,0.0,0.0,0.18171366546921322,-1.337355776504373,-0.47202011226029916,0.7820139697566619,0.7629924331927956,-1.1825511406071687,-0.2952203663131898,-1.4790068114257926,0.25580136643779494,1.9810647832483042
0.036000000000000004,0.0,0.0,0.0,0.1790355313763634,-1.3390670464249048,-0.47044816862421274,0.7859718180432129,0.7607044388863494,-1.1439971532231086,-0.2981676517583382,-1.4736427225741922,0.2596463524988545,1.9224930305297705
0.038,0.0,0.0,0.0,0.17635386741103942,-1.340831982661994,-0.46886829505033323,0.7899367869397544,0.7584928020696059,-1.1058184083717615,-0.30110361961545856,-1.4679839285601792,0.2633753599123146,1.864503706730053
0.04,0.0,0.0,0.0,0.17366858164118423,-1.3426428849275944,-0.4672804743372772,0.7939103565280103,0.7563567921261186,-1.0680049717436413,-0.30402769001444013,-1.4620351994907854,0.26698952837376405,1.8070842307247315
0.042,0.0,0.0,0.0,0.17097959821659167,-1.3444917122962807,-0.4656846864839862,0.7978939266455043,0.7542956985408835,-1.0305467926175482,-0.30693929321077534,-1.4558015981676053,0.27048997190618757,1.750221766211757
0.044,0.0,0.0,0.0,0.1682868565182602,-1.3463708491657371,-0.46408090915047595,0.8018886667551239,0.7523088291373711,-0.993434701756224,-0.30983786924669326,-1.4492880179589607,0.2738777808488275,1.6939044713199791
0.046,0.0,0.0,0.0,0.1655903101056619,-1.3482732062991554,-0.46246911803796337,0.805895556256292,0.7503955083182883,-0.9566604095413989,-0.3127228674238706,-1.442499088588678,0.2771540239255974,1.6381215383849401
0.048,0.0,0.0,0.0,0.16288992719275075,-1.3501914564555684,-0.46084928706302347,0.8099154874699477,0.7485550770806129,-0.9202156188377053,-0.3155937467864769,-1.4354396813031356,0.2803197479859701,1.5828620301863439
0.05,0.0,0.0,0.0,0.16018569060349072,-1.352118294630014,-0.4592213886741556,0.8139491944339494,0.7467868922601405,-0.8840924102361813,-0.3184499763364057,-1.4281147749644063,0.2833759786565278,1.5281153352788568
0.052000000000000005,0.0,0.0,0.0,0.15747759596269498,-1.354047320397872,-0.4575853942061075,0.8179972340240371,0.7450903241784133,-0.8482840408636227,-0.3212910339417038,-1.4205288026490348,0.28632372328816613,1.4738723158191636
0.054,0.0,0.0,0.0,0.15476565215327934,-1.35597190470782,-0.4559412740576368,0.8220600742353534,0.7434647566307642,-0.8127837738245436,-0.32411640684357573,-1.4126864509359793,0.2891639706928303,1.4201237023320767
0.056,0.0,0.0,0.0,0.1520498845602105,-1.357883796534412,-0.4542889978655369,0.8261380960499498,0.7419095892696225,-0.777583680570848,-0.3269255943256512,-1.4045937410377407,0.29189768730325705,1.366858305213381
0.058,0.0,0.0,0.0,0.14933032384070247,-1.359780359754023,-0.4526285350320747,0.8302314167311087,0.7404242267934082,-0.7426812381071124,-0.3297180995273137,-1.3962526008312326,0.2945258324176265,1.3140725571847145
0.06,0.0,0.0,0.0,0.14552470486573943,-1.9028094874815187,-0.45028122412078736,1.1736554556436574,0.7380767851242416,-1.173720834583336,-0.3338008390251817,-2.041369748934013,0.29852940179490456,2.001784688639041
0.062,0.0,0.0,0.0,0.14252850483154256,-1.498100017098436,-0.44834284810472363,0.9691880080318627,0.7340926567741956,-1.9920641750230117,-0.33821581788680927,-2.2074894308137805,0.30444156902541036,2.9560836152529024
0.064,0.0,0.0,0.0,0.14102312150506693,-0.7526916632378117,-0.4471749176990208,0.583965202851422,0.727014360973142,-3.5391479005267845,-0.34328310516256894,-2.5336436378798344,0.31398590323175835,4.772167103173991
0.066,0.0,0.0,0.0,0.1415456388147578,0.2612586548454282,-0.4470725117105752,0.05120299422278762,0.7157416802573494,-5.636340357896286,-0.34926054271009066,-2.988718773760862,0.3284153186508245,7.214707709533085
0.068,0.0,0.0,0.0,0.14449412818147872,1.474244683360465,-0.44827043730149524,-0.5989627954600119,0.6995345151781668,-8.103582539591313,-0.3563330073688005,-3.5362323293549323,0.3484771684682635,10.030924908719484
0.07,0.0,0.0,0.0,0.1501335641673885,2.8197179929548843,-0.45094954613440547,-1.3395544164551132,0.6780067736738074,-10.763870752179717,-0.3646020056982486,-4.1344991647240255,0.3743978687138159,12.960350122776214
0.07200000000000001,0.0,0.0,0.0,0.1586027349407629,4.234585386687209,-0.45524198118134834,-2.1462175234714387,0.6511069549728459,-13.449909350480738,-0.3740760519966812,-4.737023149216313,0.40590186542759665,15.751998356890367
