time,LM_GRF_x,LM_GRF_y,LM_GRF_z,LM_CTr_theta,LM_CTr_vel,LM_TrF_theta,LM_TrF_vel,LM_FTi_theta,LM_FTi_vel
0.0,0.0,0.0,0.0,-0.48323650594457657,0.0,-0.05983554325895596,0.0,0.3611528532526946,0.0
0.002,0.0,0.0,0.0,-0.4794154151130825,1.9105454157470336,-0.025717026664370063,17.05925829729295,0.3608627557381128,-0.14504875729090538
0.004,0.0,0.0,0.0,-0.4677078314360695,5.8537918385065115,0.008678577410409852,17.197802037389955,0.3542817606786888,-3.290497529712
0.006,0.0,0.0,0.0,-0.44922357002259966,9.242130706734908,0.04266996617379966,16.995694381694904,0.34202386310346833,-6.128948787610222
0.008,0.0,0.0,0.0,-0.4251687955869043,12.027387217847684,0.075623178203136,16.476606014668167,0.3248097185371303,-8.607072283169009
0.01,0.0,0.0,0.0,-0.39682884327829626,14.169976154304015,0.10696177667534623,15.669299236105118,0.3034863992692103,-10.661659633960014
0.012,0.0,0.0,0.0,-0.3655407472589133,15.644048009691492,0.13616766100764888,14.602942166151323,0.27902346827797486,-12.23146549561771
0.014,0.0,0.0,0.0,-0.3326579827764498,16.441382241231732,0.16277422429290334,13.30328164262723,0.25249002235140927,-13.266722963282795
0.016,0.0,0.0,0.0,-0.29950939616619,16.57429330512991,0.18635610989379486,11.790942800445764,0.2250169304815195,-13.736545934944887
0.018000000000000002,0.0,0.0,0.0,-0.267353493601864,16.077951282162996,0.2065217823672169,10.082836236711023,0.19774750693716475,-13.63471177217737
0.02,0.0,0.0,0.0,-0.2373285834082022,15.012455096830898,0.2229157536700505,8.1969856514168,0.1717789118311157,-12.98429755302452
0.022,0.0,0.0,0.0,-0.2103992835408004,13.464649933700903,0.23523603938604004,6.1601428579947655,0.1480963551223785,-11.841278354368601
0.024,0.0,0.0,0.0,-0.18730104914743334,11.549117196683527,0.24326894634501486,4.016453479487411,0.12750315246169155,-10.296601330343478
0.026000000000000002,0.0,0.0,0.0,-0.16848658151809678,9.407233814668277,0.2469378805656366,1.8344671103108638,0.11055176821691828,-8.475692122386635
0.028,-19.356371530441947,-5.921496111692551,25.2778676421345,-0.15408040535802348,7.203088080036654,0.24635694125322222,-0.29046965620718734,0.09748336190505208,-6.534203155933102
0.03,-18.68276917563748,-5.127513844266621,23.810283019904098,-0.14384900675278062,5.1156993026214295,0.24187636180953873,-2.2402897218417457,0.08818453982462092,-4.64941104021558
0.032,-17.981858356470383,-4.570958510229058,22.55281686669944,-0.1371921833615573,3.328411695611655,0.23410824765538377,-3.8840570770774794,0.08216841994981139,-3.008059937404765
0.034,-17.261301196706988,-4.195262005195204,21.456563201902192,-0.13315627404047084,2.0179546605432335,0.2239282722031031,-5.089987726140333,0.0785820239137297,-1.7931980180408424
0.036000000000000004,-16.53279818411206,-3.92471825885425,20.45751644296631,-0.1304630583817315,1.3466078293696697,0.2124591213641434,-5.734575419479845,0.07623423344518002,-1.1738952342748437
0.038,-15.805028826930638,-3.679249228359065,19.484278055289703,-0.12783797563524862,1.3125413732414382,0.20079708099379398,-5.831020185174715,0.07391465941443448,-1.1597870153727678
0.04,-15.079642069518124,-3.441343175374805,18.52098524489293,-0.12500860112142342,1.4146872569126,0.1891724098569938,-5.812335568400092,0.0713617489000886,-1.2764552571729384
0.042,-14.66894966355915,-3.307982923479868,17.97693258703902,-0.12329032854330653,0.8591362890584472,0.18260377520296428,-3.284317327014757,0.06978275411202257,-0.7894973940330147
0.044,-14.260383082709492,-3.1802849507338884,17.44066803344338,-0.12154517211868929,0.8725782123086209,0.1760389493884433,-3.2824129072604875,0.06817257788763449,-0.8050881121940412
0.046,-13.852043539858055,-3.0533732618954637,16.905416801753518,-0.1197126431929458,0.9162644628717409,0.1694865023023248,-3.276223543059259,0.06646106199519965,-0.8557579462174225
0.048,-13.445083283161075,-2.930028848492513,16.375112131653587,-0.11782663086565436,0.9430061636457251,0.16294049781926945,-3.27300224152767,0.06468707439304981,-0.8869938010749173
0.05,-13.039368247269774,-2.809749774901163,15.849118022170938,-0.11588044971162142,0.9730905770164652,0.15640174126466017,-3.2693782773046407,0.06284280611747058,-0.9221341377896181
0.052000000000000005,-12.634237913584695,-2.6909567831351002,15.325194696719795,-0.11385439982948695,1.0130249410672392,0.1498708741948143,-3.2654335349229373,0.06090462644351988,-0.9690898369753495
0.054,-12.231437501776682,-2.577477952621398,14.808915454398079,-0.11179507131064358,1.0296642594216852,0.14334329441028673,-3.26378989226378,0.058927317020247796,-0.9886547116360402
0.056,-11.82838179607618,-2.463422611091219,14.291804407167398,-0.10962963307109708,1.0827191197732497,0.13682384175542328,-3.259726327431725,0.05682446455257616,-1.0514262338358198
0.058,-11.428059398281523,-2.355288571101271,13.783347969382794,-0.10743772147863234,1.0959557962323674,0.13030596540822487,-3.258938173599207,0.05469015392146494,-1.0671553155556095
0.06,-11.028089676803258,-2.247749726413859,13.275839403217118,-0.10515321624108746,1.1422526187724393,0.1237930747506444,-3.256445328790235,0.05244565524891881,-1.1222493362730637
0.062,-10.630278968843694,-2.14458617523215,12.774865144075843,-0.10282249915382273,1.1653585436323666,0.11728159316167869,-3.2557407944828545,0.050145867012014796,-1.149894118452007
0.064,-10.233976525221324,-2.044228360516709,12.278204885738033,-0.1004257651383867,1.1983670077180124,0.1107721245278767,-3.2547343169009935,0.047767093683170864,-1.189386664421966
0.066,-9.838974504645718,-1.9461851360605094,11.785159640706226,-0.09795648050623959,1.2346423160735573,0.10426312626550455,-3.2544991311860767,0.04530108573165531,-1.2330039757577764
0.068,-9.446697791495986,-1.853112573111993,11.299810364607978,-0.09544762281043181,1.2544288479038879,0.09775438456936669,-3.254370848068927,0.04278749525868244,-1.256795236486436
0.07,-9.054823270193378,-1.7603231935464738,10.815146463739852,-0.09283983436614585,1.3038942221429843,0.09124383956980323,-3.2552724997817335,0.04015440724318413,-1.3165440077491548
0.07200000000000001,-8.666402860397085,-1.6735813817081393,10.339984242105224,-0.09020565227949456,1.317091043325641,0.08473247728803002,-3.255681140886604,0.0374893722752052,-1.332517483989465
0.074,-8.175874179644307,-1.4152959028280578,9.960950905642083,-0.0874724486235816,1.366601827956483,0.07821678869310941,-3.257844297460302,0.03470423270614708,-1.3925697845290594
0.076,-7.679730155280103,-1.1480735113241236,9.596570180846598,-0.08469956197136556,1.3864433261080167,0.07169832416278124,-3.2592322651640857,0.03187078071032912,-1.4167259979089784
0.078,-7.1839919983183576,-0.8815996368717752,9.236172907782437,-0.08185392315926077,1.4228194060523989,0.06517477041753969,-3.261776872620775,0.02894875593211832,-1.4610123891054017
0.08,-6.689034096271673,-0.6164812523403673,8.88058272759862,-0.07894195676705495,1.4559831961029057,0.05864477876469415,-3.26499582642277,0.025945710556312576,-1.5015226879028718
0.082,-6.196031553301908,-0.3545513423074066,8.532135099518804,-0.07598356106877836,1.479197849138296,0.05211028057652566,-3.2672490940842436,0.02288595076219029,-1.5298798970611438
0.084,-5.702620968492327,-0.09165846074093031,8.18569386560916,-0.0729319472231914,1.525806922793478,0.04556412388354227,-3.2730783464916953,0.019711989751168894,-1.5869805055106976
0.08600000000000001,-5.212445416535669,0.166221477484644,7.8487891585482625,-0.06985366692159313,1.5391401507991385,0.03901443841048713,-3.2748427365275714,0.01650533914999697,-1.6033253005859616
0.088,-4.681447586281735,0.46134125826897865,7.495570230346258,-0.06650851418907369,1.672576366259719,0.03184564645619399,-3.584395977146569,0.012756263052641596,-1.874538048677687
0.09,-4.124386676216186,0.8034322451338194,7.138796893723407,-0.06299255669815472,1.7579787454594862,0.024236154716561258,-3.8047458698163665,0.00834194678313654,-2.2071581347525284
0.092,-3.5456505952716513,1.1851127198480376,6.782366867043818,-0.05930697866842419,1.8427890148652661,0.01622640610910729,-4.004874303726983,0.0033259270539537592,-2.50800986459139
0.094,-2.6399467847186906,1.5474309521029568,6.66451032518694,-0.05545296431947011,1.9270071744770383,0.007856843551350483,-4.184781278878404,-0.0022282594224347823,-2.777093238194271
0.096,-1.519153984755547,1.9050184947824613,6.700200819952828,-0.05143169787088048,2.0106332242948164,-0.0008320900391907938,-4.344466795270638,-0.008257075933557123,-3.0144082555611704
0.098,-0.36959205685799046,2.282804476687637,6.751631075879613,-0.047244363542243276,2.093667164318601,-0.009799951744998175,-4.483930852903691,-0.014696985766941315,-3.219954916692096
0.1,0.8023492635445131,2.675137889220012,6.818149458793913,-0.0428921455531465,2.1761089945483874,-0.019006298648553268,-4.603173451777546,-0.02148445221011538,-3.393733221587033
