time,RH_GRF_x,RH_GRF_y,RH_GRF_z,RH_CTr_theta,RH_CTr_vel,RH_TrF_theta,RH_TrF_vel,RH_FTi_theta,RH_FTi_vel
0.0,0.0,0.0,0.0,-0.5217454404538557,0.0,0.15706776088406885,0.0,0.46162972195568863,0.0
0.002,0.0,0.0,0.0,-0.5365487553436846,-7.401657444914444,0.12433661893487977,-16.36557097459454,0.4753514456633572,6.860861853834277
0.004,0.0,0.0,0.0,-0.5430118203001968,-3.231532478256083,0.08956598870346255,-17.385315115708607,0.4819177800404529,3.2831671885478473
0.006,0.0,0.0,0.0,-0.5417223939726443,0.6447131637762338,0.053768969957415515,-17.89850937302352,0.4817024915845769,-0.10764422793799189
0.008,0.0,0.0,0.0,-0.533453097374125,4.134648299259635,0.01792530034034181,-17.921834808536854,0.4752191853432086,-3.2416531206841404
0.01,0.0,0.0,0.0,-0.5191557644545476,7.148666459788733,-0.017051361990457925,-17.488331165399867,0.4631589672831655,-6.0301090300215465
0.012,0.0,0.0,0.0,-0.49993511142146374,9.610326516541923,-0.050339052679901505,-16.64384534472179,0.4463935614152374,-8.382702933964065
0.014,0.0,0.0,0.0,-0.47700692790678745,11.464091757338146,-0.08122201720890483,-15.441482264501662,0.42594993728670005,-10.22181206426867
0.016,0.0,0.0,0.0,-0.45164548497914664,12.680721463820404,-0.10909376853768203,-13.9358756643886,0.40296364111369964,-11.493148086500204
0.018000000000000002,0.0,0.0,0.0,-0.4251240509658379,13.260717006654376,-0.13345261046889353,-12.17942096560575,0.37861793045286823,-12.172855330415704
0.02,0.0,0.0,0.0,-0.3986515220430608,13.236264461388537,-0.15389653558785468,-10.221962559480573,0.3540747086478391,-12.27161090251458
0.022,0.0,0.0,0.0,-0.37330764891652646,12.671936563267177,-0.1701249060918956,-8.114185252020455,0.3304019517909321,-11.836378428453475
0.024,0.0,0.0,0.0,-0.3499795942057721,11.664027355377165,-0.18195215745965165,-5.9136256838780294,0.3085016771376999,-10.95013732661612
0.026000000000000002,0.0,0.0,0.0,-0.32930367279183653,10.337960706967797,-0.1893345817800873,-3.6912121602178245,0.2890429084601559,-9.72938433877199
0.028,-19.55090982060943,9.436240954476547,28.98715077508598,-0.31161760612324085,8.84303333429784,-0.1924063688002891,-1.5358935101009024,0.27240519051139495,-8.318858974380477
0.03,-18.8041197423176,8.476952921357483,27.281072663675083,-0.2969293709561796,7.344117583530624,-0.1915173411755596,0.4445138123647524,0.2586389307889475,-6.883129861223719
0.032,-18.085490542572817,7.750641106943363,25.83613164951618,-0.2849074821423998,6.010944406889901,-0.18726405071325022,2.126645231154689,0.2474478554340335,-5.5955376774570045
0.034,-17.384602564686748,7.2007415635188625,24.585344128205612,-0.27489362840556547,5.006926868417167,-0.18050891648270756,3.377567115271332,0.23819520391158283,-4.626325761225333
0.036000000000000004,-16.6954515704132,6.754905941401548,23.45035751181475,-0.26593243606975697,4.480596167904249,-0.17238779340630936,4.0605615381991,0.22992897518367786,-4.133114363952487
0.038,-16.00948627147237,6.336723589514556,22.346209860986924,-0.25703918029266754,4.446627888544718,-0.16404181355137956,4.172989927464898,0.2216523172253028,-4.138328979187533
